case,frame_id,timestamp,is_keyframe_created,num_keyframes,num_mappoints,local_map_matches_before_pose,inlier_map_matches_after_pose,estimated_accum_path_m,estimated_frame_step_m,mask_ratio,ckf_accepted_depth_candidates,ckf_boundary_existing_supported_candidates,ckf_boundary_skipped_new_candidates,ckf_direct_vetoed_candidates,lm_delayed_rejected_boundary_pairs,lm_delayed_support_sum,lm_kept_pairs_after_boundary,lm_kept_pairs_after_delayed_boundary,lm_kept_static_pairs_after_instance,lm_promoted_geom_created,lm_promoted_geom_depth,lm_promoted_geom_enter,lm_promoted_geom_parallax,lm_promoted_geom_reproj1,lm_promoted_geom_reproj2,lm_promoted_geom_scale,lm_promoted_geom_triangulated,lm_quality_depth_support_sum,lm_quality_found_support_sum,lm_quality_frame_support_sum,lm_quality_raw_depth_support_sum,lm_quality_raw_support_sum,lm_quality_rejected_boundary_pairs,lm_quality_reliable_support_sum,lm_quality_residual_support_sum,lm_score_created,lm_score_geom_evaluated,lm_score_post_geom_rejected,lm_score_support_accepted,lm_score_support_candidates,lm_score_support_rejected,lm_skipped_boundary_pairs,lm_skipped_instance_pairs,lm_state_allowed,lm_state_candidates,lm_state_keyframe_pressure,lm_state_lba_pressure,lm_state_rejected,lm_state_scale_pressure,lm_state_tracking_pressure,lm_support_promoted_boundary_pairs
wrpy_v4_near_diag,23,1341846648.538249,1,11,1566,461,280,0.144649,0.002672,0.136016,669,26,34,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wrpy_v4_near_diag,24,1341846648.570179,1,12,1487,390,252,0.152670,0.008021,0.151468,659,27,42,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wrpy_v4_near_diag,25,1341846648.606081,1,13,1602,425,247,0.160386,0.007716,0.170153,636,30,32,205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wrpy_v4_near_diag,26,1341846648.638395,1,14,1712,489,296,0.170048,0.009662,0.138083,689,26,37,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wrpy_v4_near_diag,27,1341846648.674053,1,15,1742,508,299,0.173576,0.003528,0.151689,688,36,27,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wrpy_v4_near_diag,28,1341846648.706058,1,16,1636,445,264,0.184618,0.011042,0.171725,620,37,32,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wrpy_v4_near_diag,29,1341846648.738116,1,17,1728,490,310,0.194841,0.010223,0.138053,701,39,31,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wrpy_v4_near_diag,30,1341846648.774049,1,18,1794,497,291,0.201762,0.006921,0.154779,654,15,28,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wrpy_v4_near_diag,31,1341846648.805941,1,19,1800,511,322,0.207979,0.006217,0.177773,640,36,26,242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wrpy_v4_near_diag,34,1341846648.906165,1,20,1669,398,236,0.246174,0.007992,0.175212,670,39,55,215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wrpy_v4_near_diag,35,1341846648.942154,1,21,1774,346,143,0.253001,0.006826,0.189352,531,7,9,394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wrpy_v4_near_diag,36,1341846648.974090,1,22,1837,384,177,0.276398,0.023398,0.194808,525,7,10,409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wrpy_v4_near_diag,37,1341846649.006157,1,23,1788,434,221,0.296734,0.020335,0.200960,547,10,9,372,3,0,32,38,38,,,,,,,,,0,0,0,0,0,3,0,0,0,0,0,0,3,3,3,13,,,,,,,,0
wrpy_v4_near_diag,38,1341846649.042101,1,24,1522,409,188,0.317201,0.020467,0.299453,383,26,24,518,9,6,10,27,27,,,,,,,,,0,5,6,6,6,9,0,0,0,0,0,0,9,9,9,72,,,,,,,,0
wrpy_v4_near_diag,39,1341846649.074128,1,25,1538,377,183,0.329305,0.012104,0.319870,405,32,29,529,13,25,57,57,57,,,,,,,,,0,15,16,17,25,13,0,0,0,0,0,0,13,13,13,48,,,,,,,,0
wrpy_v4_near_diag,40,1341846649.106188,1,26,1566,383,196,0.339044,0.009739,0.345771,389,11,21,546,7,4,26,41,41,,,,,,,,,0,2,2,4,4,7,0,0,0,0,0,0,7,7,7,39,,,,,,,,0
wrpy_v4_near_diag,41,1341846649.142042,1,27,1582,408,215,0.353400,0.014357,0.307432,352,11,11,537,0,8,,42,42,1,1,1,1,1,1,1,1,0,8,8,1,8,0,1,1,1,1,0,1,1,0,,53,,,,,,,,1
wrpy_v4_near_diag,48,1341846649.383973,1,28,1469,334,157,0.453738,0.010376,0.345423,406,15,12,544,13,10,63,63,63,,,,,,,,,0,10,10,0,10,13,0,0,0,0,0,0,13,13,13,60,,,,,,,,0
wrpy_v4_near_diag,49,1341846649.416053,1,29,1523,381,183,0.481053,0.027315,0.366794,414,11,12,547,5,4,23,23,23,0,1,1,1,0,0,0,1,2,4,4,3,4,5,2,2,0,0,0,1,6,5,5,41,,,,,,,,1
wrpy_v4_near_diag,50,1341846649.448084,1,30,1585,371,214,0.495235,0.014182,0.324704,417,11,8,511,6,18,43,43,43,,,,,,,,,0,16,8,0,18,6,0,0,0,0,0,0,6,6,6,46,,,,,,,,0
wrpy_v4_near_diag,51,1341846649.484154,1,31,1625,433,258,0.508872,0.013637,0.348145,429,15,9,522,0,8,,18,18,3,3,3,3,3,3,3,3,0,8,8,0,8,0,3,3,3,3,0,3,3,0,,38,,,,,,,,3
wrpy_v4_near_diag,56,1341846649.678101,1,32,1544,380,212,0.569782,0.011698,0.322702,425,7,8,491,3,0,21,32,32,,,,,,,,,0,0,0,0,0,3,0,0,0,0,0,0,3,3,3,43,,,,,,,,0
wrpy_v4_near_diag,57,1341846649.710937,1,33,1587,395,209,0.581723,0.011940,0.335755,476,19,15,488,1,8,1,29,29,,,,,,,,,0,8,2,0,8,1,0,0,0,0,0,0,1,1,1,24,,,,,,,,0
wrpy_v4_near_diag,58,1341846649.746112,1,34,1629,410,235,0.602951,0.021228,0.348984,461,9,7,514,0,0,,23,23,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,25,,,,,,,,0
wrpy_v4_near_diag,59,1341846649.778019,1,35,1701,399,234,0.611061,0.008110,0.213070,605,28,51,332,0,3,,15,15,1,1,1,1,1,1,1,1,0,3,3,0,3,0,1,1,1,1,0,1,1,0,,17,,,,,,,,1
wrpy_v4_near_diag,60,1341846649.810257,1,35,1679,365,181,0.620963,0.009902,0.192793,646,20,35,312,2,2,8,12,12,,,,,,,,,0,1,1,2,2,2,0,0,0,0,0,0,2,2,2,19,,,,,,,,0
wrpy_v4_near_diag,61,1341846649.846059,1,36,1800,412,206,0.637941,0.016978,0.192565,651,24,23,299,1,1,11,17,17,,,,,,,,,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,14,,,,,,,,0
wrpy_v4_near_diag,62,1341846649.878137,1,37,1840,460,273,0.654823,0.016882,0.209339,651,37,44,286,1,10,13,17,17,1,1,1,1,1,1,1,1,0,10,9,3,10,1,1,1,1,1,0,1,2,1,1,9,,,,,,,,1
wrpy_v4_near_diag,63,1341846649.914184,1,38,1833,440,236,0.675725,0.020902,0.208070,608,28,19,345,0,0,,4,4,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,8,,,,,,,,0
wrpy_v4_near_diag,67,1341846650.046184,1,38,1625,385,189,0.718771,0.007114,0.295524,560,9,7,409,2,4,5,15,15,,,,,,,,,0,2,4,2,4,2,0,0,0,0,0,0,2,2,2,30,,,,,,,,0
wrpy_v4_near_diag,68,1341846650.078250,1,39,1613,404,192,0.738332,0.019561,0.262360,575,4,19,346,8,35,24,24,24,,,,,,,,,0,35,15,7,35,8,0,0,0,0,0,0,8,8,8,40,,,,,,,,0
wrpy_v4_near_diag,69,1341846650.114215,1,40,1648,399,220,0.758595,0.020263,0.284072,525,8,8,439,0,8,,53,53,1,1,1,1,1,1,1,1,0,7,4,0,8,0,1,1,1,1,0,1,1,0,,94,,,,,,,,1
wrpy_v4_near_diag,70,1341846650.146137,1,41,1685,436,245,0.770361,0.011766,0.304954,489,11,4,466,2,0,10,41,41,,,,,,,,,0,0,0,0,0,2,0,0,0,0,0,0,2,2,2,71,,,,,,,,0
wrpy_v4_near_diag,74,1341846650.282167,1,41,1634,389,187,0.837618,0.028515,0.264961,605,19,26,328,5,44,47,89,89,1,4,4,4,1,1,1,4,3,34,33,24,44,5,4,4,1,1,0,4,9,5,5,83,,,,,,,,4
wrpy_v4_near_diag,75,1341846650.314158,1,42,1700,445,259,0.860084,0.022467,0.284919,533,10,16,433,2,7,20,40,40,,,,,,,,,0,7,5,7,7,2,0,0,0,0,0,0,2,2,2,58,,,,,,,,0
wrpy_v4_near_diag,76,1341846650.350453,1,43,1757,491,283,0.872079,0.011994,0.307959,476,14,2,470,0,0,,17,17,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,56,,,,,,,,0
wrpy_v4_near_diag,77,1341846650.382075,1,44,1755,481,279,0.888125,0.016046,0.301292,478,11,12,441,0,0,,7,7,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,36,,,,,,,,0
wrpy_v4_near_diag,80,1341846650.484849,1,40,1620,397,224,0.928877,0.008829,0.287562,454,18,17,463,3,7,20,33,33,0,1,1,1,1,0,0,1,0,6,5,5,7,3,1,1,0,0,0,1,4,3,3,34,,,,,,,,1
wrpy_v4_near_diag,81,1341846650.514091,1,41,1665,410,200,0.952198,0.023321,0.322861,432,24,5,513,1,10,6,31,31,0,1,1,1,0,0,0,1,1,6,7,7,10,1,1,1,0,0,0,1,2,1,1,47,,,,,,,,1
wrpy_v4_near_diag,82,1341846650.550746,1,42,1702,435,223,0.963186,0.010989,0.351794,418,28,7,547,1,0,4,27,27,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,54,,,,,,,,0
wrpy_v4_near_diag,83,1341846650.582069,1,43,1970,434,242,0.983933,0.020747,0.100247,775,15,10,137,0,9,,19,19,0,1,1,1,0,0,0,1,3,7,7,6,9,0,3,3,0,0,0,1,1,0,,12,,,,,,,,1
wrpy_v4_near_diag,88,1341846650.750112,1,44,2024,424,230,1.033643,0.009927,0.128796,688,3,5,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wrpy_v4_near_diag,90,1341846650.818115,1,45,2143,501,294,1.060110,0.014884,0.114154,708,10,3,178,0,0,,36,36,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,44,,,,,,,,0
wrpy_v4_near_diag,91,1341846650.850139,1,46,2261,569,361,1.077460,0.017349,0.126553,698,3,2,179,3,0,15,76,76,,,,,,,,,0,0,0,0,0,3,0,0,0,0,0,0,3,3,3,85,,,,,,,,0
wrpy_v4_near_diag,92,1341846650.886238,1,47,2385,506,241,1.091367,0.013907,0.097129,719,9,9,131,1,0,3,48,48,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,92,,,,,,,,0
wrpy_v4_near_diag,95,1341846650.986247,1,44,2306,535,280,1.134594,0.014134,0.141185,718,35,27,156,1,1,0,45,45,,,,,,,,,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,58,,,,,,,,0
wrpy_v4_near_diag,96,1341846651.018106,1,45,2422,542,300,1.149181,0.014587,0.150433,694,19,22,195,0,6,,30,30,1,1,1,1,1,1,1,1,1,4,6,6,6,0,1,1,1,1,0,1,1,0,,46,,,,,,,,1
wrpy_v4_near_diag,97,1341846651.050482,1,46,2471,582,344,1.168046,0.018866,0.162207,696,21,16,217,1,2,9,57,57,,,,,,,,,0,2,1,0,2,1,0,0,0,0,0,0,1,1,1,57,,,,,,,,0
wrpy_v4_near_diag,98,1341846651.086169,1,47,2498,613,326,1.184215,0.016168,0.132959,690,32,20,163,1,8,19,64,61,1,2,2,2,2,1,1,2,2,8,8,8,8,1,2,2,1,1,0,2,3,1,1,60,,,,,,,,2
wrpy_v4_near_diag,101,1341846651.186391,1,47,2386,538,273,1.235389,0.013192,0.113454,695,8,4,132,2,5,14,60,60,,,,,,,,,0,2,5,5,5,2,0,0,0,0,0,0,2,2,2,40,,,,,,,,0
wrpy_v4_near_diag,102,1341846651.218036,1,48,2416,609,358,1.246728,0.011339,0.130244,702,4,5,153,0,0,,94,94,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,40,,,,,,,,0
wrpy_v4_near_diag,103,1341846651.254031,1,49,2477,640,383,1.256644,0.009916,0.144232,710,15,6,161,0,0,,85,85,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,38,,,,,,,,0
wrpy_v4_near_diag,104,1341846651.286406,1,50,2499,653,391,1.268445,0.011801,0.146969,708,24,12,165,1,8,17,63,63,0,1,1,1,0,0,0,1,0,7,6,0,8,1,1,1,0,0,0,1,2,1,1,23,,,,,,,,1
wrpy_v4_near_diag,108,1341846651.422237,1,49,2317,541,276,1.333770,0.017965,0.168457,644,13,15,215,1,4,5,39,39,,,,,,,,,0,2,3,0,4,1,0,0,0,0,0,0,1,1,1,25,,,,,,,,0
wrpy_v4_near_diag,109,1341846651.492135,1,50,2428,521,262,1.356878,0.023109,0.192129,665,26,16,231,3,2,16,31,19,,,,,,,,,0,2,2,2,2,3,0,0,0,0,0,0,3,3,3,16,,,,,,,,0
wrpy_v4_near_diag,110,1341846651.522099,1,51,2563,568,260,1.373780,0.016902,0.164134,718,35,32,164,6,3,21,36,36,,,,,,,,,0,2,3,3,3,6,0,0,0,0,0,0,6,6,6,13,,,,,,,,0
wrpy_v4_near_diag,111,1341846651.560316,1,52,2646,563,267,1.389010,0.015230,0.177406,706,30,30,203,4,7,5,19,19,,,,,,,,,0,6,5,7,7,4,0,0,0,0,0,0,4,4,4,13,,,,,,,,0
wrpy_v4_near_diag,113,1341846651.622176,1,52,2573,538,231,1.438670,0.020235,0.161553,756,25,28,152,2,0,5,23,19,,,,,,,,,0,0,0,0,0,2,0,0,0,0,0,0,2,2,2,12,,,,,,,,0
wrpy_v4_near_diag,114,1341846651.654223,1,53,2656,583,285,1.461715,0.023045,0.171930,703,23,30,198,0,0,,23,23,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,28,,,,,,,,0
wrpy_v4_near_diag,115,1341846651.690127,1,54,2714,568,266,1.485555,0.023840,0.192513,655,38,19,221,1,0,19,37,37,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,56,,,,,,,,0
wrpy_v4_near_diag,116,1341846651.722318,1,55,2751,571,255,1.512300,0.026745,0.149121,692,24,29,166,1,0,0,16,16,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,47,,,,,,,,0
wrpy_v4_near_diag,118,1341846651.790200,1,56,2661,513,158,1.579831,0.031508,0.193011,622,42,23,217,0,9,,19,18,1,1,1,1,1,1,1,1,1,7,6,9,9,0,1,1,1,1,0,1,1,0,,43,,,,,,,,1
wrpy_v4_near_diag,119,1341846651.822233,1,57,2764,545,210,1.602771,0.022940,0.218118,466,4,4,352,1,2,5,30,24,,,,,,,,,0,0,2,0,2,1,0,0,0,0,0,0,1,1,1,8,,,,,,,,0
wrpy_v4_near_diag,120,1341846651.858213,1,58,2866,539,180,1.625051,0.022280,0.227288,484,2,3,389,0,0,,18,16,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,8,,,,,,,,0
wrpy_v4_near_diag,121,1341846651.890237,1,59,2891,552,175,1.663116,0.038065,0.232835,459,5,5,388,0,0,,14,14,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,8,,,,,,,,0
wrpy_v4_near_diag,123,1341846651.958047,1,59,2703,495,163,1.723865,0.031176,0.349980,307,9,7,433,1,2,9,46,39,,,,,,,,,0,0,2,0,2,1,0,0,0,0,0,0,1,1,1,23,,,,,,,,0
wrpy_v4_near_diag,124,1341846651.990020,1,60,2702,498,185,1.750579,0.026714,0.361234,328,17,9,475,1,0,25,34,34,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,37,,,,,,,,0
wrpy_v4_near_diag,125,1341846652.022081,1,61,2728,453,148,1.782967,0.032389,0.293057,415,28,56,310,2,1,10,16,14,,,,,,,,,0,0,1,0,1,2,0,0,0,0,0,0,2,2,2,15,,,,,,,,0
wrpy_v4_near_diag,126,1341846652.058058,1,62,2738,457,149,1.819311,0.036344,0.303727,368,37,25,318,1,1,9,14,10,,,,,,,,,0,1,0,1,1,1,0,0,0,0,0,0,1,1,1,9,,,,,,,,0
wrpy_v4_near_diag,128,1341846652.126257,1,63,2610,448,137,1.900895,0.039625,0.272891,359,28,45,308,0,14,,27,27,5,5,5,5,5,5,5,5,5,5,14,10,14,0,5,5,5,5,0,5,5,0,,35,,,,,,,,5
wrpy_v4_near_diag,129,1341846652.158232,1,64,2637,446,140,1.940667,0.039771,0.279867,338,15,26,313,0,7,,45,45,1,1,1,1,1,1,1,1,4,4,7,7,7,0,4,4,1,1,0,1,1,0,,43,,,,,,,,1
wrpy_v4_near_diag,130,1341846652.190049,1,65,2702,463,150,1.981321,0.040654,0.289508,330,21,32,339,5,6,45,55,54,1,1,1,1,1,1,1,1,0,5,2,4,6,5,1,1,1,1,0,1,6,5,5,34,,,,,,,,1
wrpy_v4_near_diag,131,1341846652.225981,1,66,2763,458,111,2.020402,0.039081,0.247601,347,25,41,340,0,0,,24,23,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,40,,,,,,,,0
wrpy_v4_near_diag,133,1341846652.290189,1,67,2731,381,103,2.115389,0.043166,0.265498,412,17,15,226,2,0,24,120,82,,,,,,,,,0,0,0,0,0,2,0,0,0,0,0,0,2,2,2,11,,,,,,,,0
wrpy_v4_near_diag,134,1341846652.326148,1,68,2874,415,108,2.153489,0.038099,0.224421,447,22,22,195,1,0,3,45,15,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,4,,,,,,,,0
wrpy_v4_near_diag,135,1341846652.358184,1,69,2960,446,171,2.169284,0.015795,0.222005,449,17,14,154,1,0,16,62,16,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,,,,,,,,0
wrpy_v4_near_diag,136,1341846652.394279,1,70,2951,476,214,2.182507,0.013224,0.218519,380,18,13,160,1,0,32,85,23,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,3,,,,,,,,0
wrpy_v4_near_diag,138,1341846652.458277,1,71,2896,452,215,2.249847,0.020127,0.187035,405,5,7,143,4,0,19,68,39,,,,,,,,,0,0,0,0,0,4,0,0,0,0,0,0,4,4,4,5,,,,,,,,0
wrpy_v4_near_diag,139,1341846652.494100,1,72,2957,479,246,2.280000,0.030153,0.179945,411,14,15,141,4,0,13,119,84,,,,,,,,,0,0,0,0,0,4,0,0,0,0,0,0,4,4,4,13,,,,,,,,0
wrpy_v4_near_diag,140,1341846652.526469,1,73,2985,499,246,2.296270,0.016269,0.181074,375,10,21,144,4,0,41,107,86,,,,,,,,,0,0,0,0,0,4,0,0,0,0,0,0,4,4,4,12,,,,,,,,0
wrpy_v4_near_diag,141,1341846652.562089,1,74,3012,487,197,2.318317,0.022047,0.198812,339,19,22,193,4,6,29,67,13,0,1,1,1,1,0,0,1,1,6,6,5,6,4,2,2,0,0,0,1,5,4,4,2,,,,,,,,1
wrpy_v4_near_diag,142,1341846652.594254,1,75,2904,441,158,2.341976,0.023659,0.223786,350,15,9,238,0,0,,34,4,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,2,,,,,,,,0
wrpy_v4_near_diag,143,1341846652.626356,1,76,2916,429,153,2.358578,0.016602,0.213389,347,9,16,201,0,0,,46,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,0
wrpy_v4_near_diag,144,1341846652.662152,1,77,3026,274,68,2.418214,0.059636,0.229775,327,13,12,215,0,0,,7,7,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,2,,,,,,,,0
wrpy_v4_near_diag,145,1341846652.694113,1,78,3063,295,68,2.428297,0.010083,0.240192,319,6,20,248,0,0,,2,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,0
wrpy_v4_near_diag,146,1341846652.726378,1,79,3032,280,67,2.457384,0.029088,0.174912,393,3,44,205,3,0,4,5,4,,,,,,,,,0,0,0,0,0,3,0,0,0,0,0,0,3,3,3,1,,,,,,,,0
wrpy_v4_near_diag,147,1341846652.762129,1,80,3057,276,71,2.491379,0.033995,0.176947,388,15,28,186,0,0,,2,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,0
wrpy_v4_near_diag,148,1341846652.794152,1,81,3109,272,53,2.505909,0.014529,0.189681,352,12,26,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wrpy_v4_near_diag,149,1341846652.830250,1,82,3129,254,58,2.535308,0.029399,0.105007,360,1,34,178,0,0,,5,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,0
wrpy_v4_near_diag,150,1341846652.862014,1,83,3059,254,77,2.618870,0.083562,0.099782,342,2,44,165,0,0,,7,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,0
wrpy_v4_near_diag,151,1341846652.894426,1,84,3052,272,72,2.666078,0.047207,0.103626,290,3,21,172,1,0,100,116,101,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,19,,,,,,,,0
wrpy_v4_near_diag,152,1341846652.930346,1,85,3110,297,100,2.676700,0.010622,0.096950,313,6,20,175,0,0,,21,7,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,1,,,,,,,,0
wrpy_v4_near_diag,153,1341846652.962213,1,86,3111,283,84,2.721769,0.045069,0.098997,276,4,12,195,4,0,86,131,109,,,,,,,,,0,0,0,0,0,4,0,0,0,0,0,0,4,4,4,9,,,,,,,,0
wrpy_v4_near_diag,154,1341846652.994687,1,87,3077,330,122,2.775917,0.054148,0.112819,312,7,8,189,1,6,4,148,135,1,1,3,1,1,1,1,1,0,6,3,0,6,1,3,3,1,1,0,3,4,1,1,16,,,,,,,,3
wrpy_v4_near_diag,155,1341846653.030292,1,88,3158,330,126,2.788842,0.012925,0.086299,275,7,25,171,4,8,141,171,165,2,2,2,2,2,2,2,2,1,3,8,2,8,4,2,2,2,2,0,2,6,4,4,22,,,,,,,,2
wrpy_v4_near_diag,156,1341846653.062672,1,89,3250,369,156,2.821120,0.032279,0.083118,297,17,13,171,2,1,59,89,71,,,,,,,,,0,0,1,0,1,2,0,0,0,0,0,0,2,2,2,17,,,,,,,,0
wrpy_v4_near_diag,157,1341846653.099024,1,90,3260,347,138,2.839784,0.018664,0.084788,230,1,9,147,0,0,,71,42,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,6,,,,,,,,0
wrpy_v4_near_diag,158,1341846653.130475,1,91,3196,292,130,2.851162,0.011378,0.067051,258,1,14,137,1,2,21,67,39,,,,,,,,,0,1,2,0,2,1,0,0,0,0,0,0,1,1,1,4,,,,,,,,0
wrpy_v4_near_diag,159,1341846653.162620,1,92,3283,296,139,2.870997,0.019835,0.044525,325,3,15,83,0,5,,39,21,1,1,1,1,1,1,1,1,0,5,5,0,5,0,4,4,1,1,0,1,1,0,,1,,,,,,,,1
wrpy_v4_near_diag,160,1341846653.198437,1,93,3348,331,150,2.919886,0.048890,0.048480,322,6,18,87,2,3,30,73,54,,,,,,,,,0,0,3,0,3,2,0,0,0,0,0,0,2,2,2,7,,,,,,,,0
wrpy_v4_near_diag,161,1341846653.230042,1,94,3352,335,157,2.939141,0.019255,0.102884,198,4,9,164,4,2,41,70,70,,,,,,,,,0,0,2,0,2,4,0,0,0,0,0,0,4,4,4,9,,,,,,,,0
wrpy_v4_near_diag,162,1341846653.262357,1,95,3250,278,141,2.964172,0.025031,0.103190,247,14,30,177,1,5,42,222,161,1,1,1,1,1,1,1,1,0,4,5,0,5,1,4,4,1,1,0,1,2,1,1,7,,,,,,,,1
wrpy_v4_near_diag,163,1341846653.298380,1,96,3333,333,155,2.968591,0.004419,0.111296,196,5,20,173,1,3,23,117,113,,,,,,,,,0,3,3,0,3,1,0,0,0,0,0,0,1,1,1,14,,,,,,,,0
