case,frame,applied,reason,v21_reason,estimated_step,allowed_step,step_ratio,static_inliers,static_grid_coverage,v21_before_chi2,v21_after_chi2,v21_chi2_inc,v21_inlier_delta
wrpy_v21_default_seq_noheap,259,0,v21_residual_verification_reject,residual_inlier_ratio_drop,0.025564,0.018000,2.255643,192,0.031901,2.166020,2.989610,0.823590,-0.089947
wrpy_v21_default_seq_noheap,260,1,accepted_residual_verified,accepted_residual_verified,0.023511,0.018000,1.992867,260,0.044596,1.978184,2.025684,0.047499,-0.012295
wrpy_v21_default_seq_noheap,263,1,accepted_residual_verified,accepted_residual_verified,0.018216,0.018000,1.607302,229,0.036458,1.468008,1.469119,0.001111,0.000000
wrpy_v21_default_seq_noheap,267,1,accepted_residual_verified,accepted_residual_verified,0.018800,0.018000,1.738505,223,0.038411,1.397373,1.400714,0.003342,-0.004505
wrpy_v21_default_seq_noheap,268,1,accepted_residual_verified,accepted_residual_verified,0.022033,0.018000,2.037467,215,0.041341,1.461027,1.678732,0.217705,-0.023364
wrpy_v21_default_seq_noheap,269,0,v21_residual_verification_reject,residual_inlier_ratio_drop,0.031290,0.018000,2.893462,227,0.038411,1.396431,2.882801,1.486370,-0.096916
wrpy_v21_default_seq_noheap,272,0,v21_residual_verification_reject,residual_chi2_worse,0.041684,0.017886,4.194992,229,0.038737,1.550739,8.065123,6.514384,-0.390351
wrpy_v21_default_seq_noheap,275,0,v21_residual_verification_reject,residual_inlier_ratio_drop,0.031922,0.017886,3.212610,147,0.026693,2.975032,4.359020,1.383988,-0.170068
wrpy_v21_default_seq_noheap,277,0,v21_residual_verification_reject,residual_chi2_worse,0.047641,0.018000,3.838735,113,0.019206,2.165213,7.467479,5.302266,-0.351351
wrpy_v21_default_seq_noheap,286,0,v21_residual_verification_reject,residual_chi2_worse,0.025846,0.018000,1.709741,120,0.026367,2.595924,6.498301,3.902377,-0.275862
wrpy_v21_default_seq_noheap,287,0,v21_residual_verification_reject,residual_inlier_ratio_drop,0.026097,0.018000,1.726388,86,0.017253,2.865443,3.200951,0.335508,-0.060976
wrpy_v21_default_seq_noheap,288,0,v21_residual_verification_reject,residual_chi2_worse,0.034976,0.018000,2.313712,118,0.022135,2.570994,19.764497,17.193503,-0.580357
wrpy_v21_default_seq_noheap,289,0,v21_residual_verification_reject,residual_chi2_worse,0.026619,0.018000,1.608264,87,0.016927,2.675382,8.535042,5.859661,-0.361446
wrpy_v21_default_seq_noheap,290,0,v21_residual_verification_reject,residual_chi2_worse,0.045478,0.018000,2.747636,85,0.018880,2.890482,39.297739,36.407256,-0.805556
wrpy_v21_default_seq_noheap,291,0,v21_residual_verification_reject,residual_chi2_worse,0.033527,0.018000,2.025577,137,0.028646,2.402232,13.765060,11.362829,-0.476562
wrpy_v21_default_seq_noheap,292,0,v21_residual_verification_reject,residual_chi2_worse,0.026306,0.018000,1.503673,96,0.023112,3.035764,5.666807,2.631043,-0.247312
wrpy_v21_default_seq_noheap,293,0,v21_residual_verification_reject,residual_chi2_worse,0.035541,0.018000,1.974477,141,0.028646,2.300753,12.085305,9.784553,-0.459259
wrpy_v21_default_seq_noheap,294,0,v21_residual_verification_reject,residual_chi2_worse,0.052215,0.018000,2.900857,152,0.030924,2.725032,39.390503,36.665471,-0.889655
wrpy_v21_default_seq_noheap,295,0,v21_residual_verification_reject,residual_chi2_worse,0.034092,0.018000,1.838058,105,0.023438,2.833832,8.133857,5.300025,-0.380000
wrpy_v21_default_seq_noheap,296,0,v21_residual_verification_reject,residual_chi2_worse,0.035990,0.018000,1.856700,141,0.027995,2.791195,6.320049,3.528854,-0.285714
wrpy_v21_default_seq_noheap,299,1,accepted_residual_verified,accepted_residual_verified,0.022472,0.018000,1.075734,188,0.039714,2.530740,2.662110,0.131370,-0.031915
wrpy_v21_default_seq_noheap,302,0,v21_residual_verification_reject,residual_inlier_ratio_drop,0.028301,0.018000,1.354773,227,0.044596,2.278055,3.652237,1.374183,-0.118943
wrpy_v21_default_seq_noheap,303,0,v21_residual_verification_reject,residual_chi2_worse,0.028882,0.018000,1.382584,239,0.045898,2.561737,4.756295,2.194559,-0.213389
wrpy_v21_default_seq_noheap,304,0,v21_residual_verification_reject,residual_inlier_ratio_drop,0.025458,0.018000,1.073109,244,0.046875,2.177762,3.629508,1.451746,-0.155738
wrpy_v21_default_seq_noheap,305,1,accepted_residual_verified,accepted_residual_verified,0.022718,0.018000,0.894426,172,0.036784,2.584187,2.715297,0.131110,-0.011628
wrpy_v21_default_seq_noheap,308,0,v21_residual_verification_reject,residual_chi2_worse,0.031152,0.018000,1.264935,231,0.044922,2.385229,6.458337,4.073108,-0.264069
wrpy_v21_default_seq_noheap,309,0,v21_residual_verification_reject,residual_inlier_ratio_drop,0.022102,0.018000,0.870197,225,0.044271,2.277007,2.719505,0.442498,-0.057778
wrpy_v21_default_seq_noheap,314,1,accepted_residual_verified,accepted_residual_verified,0.018945,0.018000,0.767403,236,0.046549,2.149619,2.174261,0.024642,-0.016949
wrpy_v21_default_seq_noheap,315,0,v21_residual_verification_reject,residual_chi2_worse,0.043159,0.018000,1.748283,214,0.041341,2.771624,19.894780,17.123156,-0.691589
wrpy_v21_default_seq_noheap,316,0,v21_residual_verification_reject,residual_chi2_worse,0.046390,0.018000,1.781580,184,0.034831,2.701944,23.784129,21.082185,-0.722826
wrpy_v21_default_seq_noheap,318,0,v21_residual_verification_reject,residual_chi2_worse,0.032600,0.018000,1.320529,115,0.026042,3.128290,9.164807,6.036517,-0.478261
wrpy_v21_default_seq_noheap,319,0,v21_residual_verification_reject,residual_inlier_ratio_drop,0.021929,0.018000,0.888273,124,0.026367,2.811068,3.137051,0.325983,-0.064516
wrpy_v21_default_seq_noheap,320,0,v21_residual_verification_reject,residual_chi2_worse,0.034956,0.018000,1.519258,179,0.035807,2.758897,10.220382,7.461485,-0.469274
wrpy_v21_default_seq_noheap,321,0,v21_residual_verification_reject,residual_inlier_ratio_drop,0.021459,0.018000,0.998011,217,0.041992,2.749042,3.158022,0.408980,-0.073733
wrpy_v21_default_seq_noheap,322,0,v21_residual_verification_reject,residual_inlier_ratio_drop,0.021415,0.018000,1.011087,212,0.042643,2.914713,3.124052,0.209339,-0.075472
wrpy_v21_default_seq_noheap,325,1,accepted_residual_verified,accepted_residual_verified,0.019662,0.018000,1.010870,251,0.045898,3.022804,3.032091,0.009288,0.000000
wrpy_v21_default_seq_noheap,326,0,v21_residual_verification_reject,residual_inlier_ratio_drop,0.024055,0.018000,1.336386,263,0.047852,2.847809,3.615158,0.767349,-0.087452
wrpy_v21_default_seq_noheap,327,0,v21_residual_verification_reject,residual_inlier_ratio_drop,0.023719,0.018000,1.317732,246,0.046549,2.769469,3.178243,0.408774,-0.077236
wrpy_v21_default_seq_noheap,328,0,v21_residual_verification_reject,residual_chi2_worse,0.037878,0.018000,1.947343,199,0.037760,2.857999,8.761019,5.903020,-0.407035
wrpy_v21_default_seq_noheap,333,0,v21_residual_verification_reject,residual_inlier_ratio_drop,0.023712,0.018000,1.088681,272,0.047526,2.907653,3.730804,0.823151,-0.121324
wrpy_v21_default_seq_noheap,390,1,accepted_residual_verified,accepted_residual_verified,0.018358,0.018000,1.410544,283,0.048503,2.204808,2.207999,0.003190,-0.003559
wrpy_v21_default_seq_noheap,392,0,v21_residual_verification_reject,residual_inlier_ratio_drop,0.024539,0.018000,2.313729,254,0.047852,2.407087,3.457076,1.049989,-0.134921
wrpy_v21_default_seq_noheap,408,0,v21_residual_verification_reject,residual_inlier_ratio_drop,0.023560,0.016677,2.542986,216,0.038086,1.686000,2.851244,1.165244,-0.092593
wrpy_v21_default_seq_noheap,461,1,accepted_residual_verified,accepted_residual_verified,0.008012,0.005430,2.655867,91,0.019857,1.873516,1.928603,0.055087,-0.010989
wrpy_v21_default_seq_noheap,468,1,accepted_residual_verified,accepted_residual_verified,0.006428,0.005308,2.179667,102,0.023438,2.095721,2.146524,0.050804,0.000000
wrpy_v21_default_seq_noheap,470,1,accepted_residual_verified,accepted_residual_verified,0.007164,0.005308,2.429440,120,0.026367,2.122102,2.132331,0.010229,0.000000
wrpy_v21_default_seq_noheap,472,1,accepted_residual_verified,accepted_residual_verified,0.006708,0.005308,2.274916,137,0.029297,1.895319,1.927452,0.032132,-0.007299
wrpy_v21_default_seq_noheap,474,0,v21_residual_verification_reject,residual_inlier_ratio_drop,0.011554,0.005423,3.835337,77,0.019531,2.549493,3.385197,0.835704,-0.116883
wrpy_v21_default_seq_noheap,475,0,v21_residual_verification_reject,residual_inlier_ratio_drop,0.010260,0.005423,3.405725,109,0.026042,2.632955,3.164738,0.531783,-0.110092
wrpy_v21_default_seq_noheap,476,0,v21_residual_verification_reject,residual_inlier_ratio_drop,0.010108,0.005466,3.328890,190,0.040039,2.319083,2.704321,0.385238,-0.068421
wrpy_v21_default_seq_noheap,477,0,v21_residual_verification_reject,residual_chi2_worse,0.013783,0.005535,4.482670,104,0.025391,2.637545,4.643453,2.005908,-0.221154
wrpy_v21_default_seq_noheap,478,1,accepted_residual_verified,accepted_residual_verified,0.005918,0.005741,1.855393,109,0.026042,2.685174,2.684399,-0.000775,0.000000
wrpy_v21_default_seq_noheap,479,1,accepted_residual_verified,accepted_residual_verified,0.007061,0.005741,2.213598,171,0.038411,2.611452,2.637607,0.026154,-0.023392
wrpy_v21_default_seq_noheap,482,1,accepted_residual_verified,accepted_residual_verified,0.010380,0.007560,2.471205,220,0.045898,2.433382,2.597531,0.164149,-0.045455
wrpy_v21_default_seq_noheap,573,0,v21_residual_verification_reject,residual_chi2_worse,0.091910,0.014654,11.289427,109,0.016276,2.202547,392.711400,390.508852,-1.000000
wrpy_v21_default_seq_noheap,574,1,accepted_residual_verified,accepted_residual_verified,0.016421,0.015358,1.924539,111,0.015951,2.053729,2.095869,0.042140,-0.009091
wrpy_v21_default_seq_noheap,575,0,v21_residual_verification_reject,residual_chi2_worse,0.024117,0.016052,2.704489,136,0.018880,1.875568,6.249972,4.374404,-0.276923
wrpy_v21_default_seq_noheap,578,0,v21_residual_verification_reject,residual_inlier_ratio_drop,0.020804,0.016883,2.218010,91,0.013346,2.085013,2.799151,0.714139,-0.065934
wrpy_v21_default_seq_noheap,579,0,v21_residual_verification_reject,residual_chi2_worse,0.059283,0.017643,6.048175,119,0.019531,2.362843,94.395778,92.032935,-0.991150
wrpy_v21_default_seq_noheap,580,0,v21_residual_verification_reject,residual_chi2_worse,0.120126,0.017643,12.255498,118,0.017904,2.944655,457.393891,454.449236,-1.000000
wrpy_v21_default_seq_noheap,581,0,v21_residual_verification_reject,residual_chi2_worse,0.036206,0.017643,3.693779,198,0.027995,2.439179,12.794203,10.355023,-0.540816
wrpy_v21_default_seq_noheap,582,0,v21_residual_verification_reject,residual_chi2_worse,0.033176,0.018000,3.107374,180,0.025391,2.579507,9.392320,6.812813,-0.412429
wrpy_v21_default_seq_noheap,584,0,v21_residual_verification_reject,residual_chi2_worse,0.088355,0.018000,7.580459,169,0.026042,2.413619,106.527076,104.113457,-1.000000
wrpy_v21_default_seq_noheap,586,0,v21_residual_verification_reject,residual_chi2_worse,0.066798,0.018000,5.508571,155,0.026693,2.950770,53.379896,50.429126,-0.939189
wrpy_v21_default_seq_noheap,587,0,v21_residual_verification_reject,residual_chi2_worse,0.090323,0.018000,7.095902,197,0.033854,2.585214,114.459755,111.874541,-0.994872
wrpy_v21_default_seq_noheap,588,0,v21_residual_verification_reject,residual_chi2_worse,0.089841,0.018000,6.122313,180,0.032552,2.585601,108.285211,105.699610,-1.000000
wrpy_v21_default_seq_noheap,590,0,v21_residual_verification_reject,residual_inlier_ratio_drop,0.024762,0.018000,1.524088,260,0.040690,2.583528,3.698284,1.114756,-0.119691
wrpy_v21_default_seq_noheap,591,0,v21_residual_verification_reject,residual_inlier_ratio_drop,0.023766,0.018000,1.462780,249,0.046224,2.484660,3.235235,0.750575,-0.099585
wrpy_v21_default_seq_noheap,593,1,accepted_residual_verified,accepted_residual_verified,0.020367,0.018000,1.198466,264,0.042318,2.628196,2.767887,0.139691,-0.031621
wrpy_v21_default_seq_noheap,595,1,accepted_residual_verified,accepted_residual_verified,0.019313,0.018000,1.082290,219,0.038737,2.962600,3.002897,0.040297,-0.014019
wrpy_v21_default_seq_noheap,596,1,accepted_residual_verified,accepted_residual_verified,0.020006,0.018000,1.111463,297,0.049805,2.463020,2.547138,0.084118,-0.023891
wrpy_v21_default_seq_noheap,606,0,v21_residual_verification_reject,residual_chi2_worse,0.040760,0.018000,2.398529,230,0.042969,3.003961,19.916664,16.912703,-0.672489
wrpy_v21_default_seq_noheap,607,0,v21_residual_verification_reject,residual_chi2_worse,0.044817,0.018000,2.526047,196,0.035156,2.624838,20.535309,17.910470,-0.701031
wrpy_v21_default_seq_noheap,610,1,accepted_residual_verified,accepted_residual_verified,0.019650,0.018000,1.247033,231,0.044922,2.376554,2.448793,0.072239,-0.030303
wrpy_v21_default_seq_noheap,614,0,v21_residual_verification_reject,residual_inlier_ratio_drop,0.021760,0.018000,1.689215,144,0.030599,3.071868,3.493522,0.421655,-0.090909
wrpy_v21_default_seq_noheap,615,0,v21_residual_verification_reject,residual_inlier_ratio_drop,0.025565,0.018000,1.984585,259,0.048503,2.738796,3.762974,1.024177,-0.128405
wrpy_v21_default_seq_noheap,622,0,v21_residual_verification_reject,residual_inlier_ratio_drop,0.023050,0.018000,2.068999,227,0.041667,2.194690,2.766076,0.571387,-0.083700
wrpy_v21_default_seq_noheap,623,1,accepted_residual_verified,accepted_residual_verified,0.020181,0.018000,1.731253,213,0.043294,2.481210,2.560762,0.079553,-0.032864
wrpy_v21_default_seq_noheap,629,0,v21_residual_verification_reject,residual_chi2_worse,0.029000,0.018000,2.487737,229,0.043620,2.224476,4.452203,2.227727,-0.187773
wrpy_v21_default_seq_noheap,643,1,accepted_residual_verified,accepted_residual_verified,0.020446,0.018000,1.645678,233,0.046224,2.464563,2.588256,0.123694,-0.034632
wrpy_v21_default_seq_noheap,644,1,accepted_residual_verified,accepted_residual_verified,0.018029,0.018000,1.357564,242,0.048177,2.327074,2.327094,0.000020,0.000000
wrpy_v21_default_seq_noheap,673,0,v21_residual_verification_reject,residual_inlier_ratio_drop,0.026527,0.018000,2.372270,221,0.042969,2.692200,3.716164,1.023964,-0.153846
wrpy_v21_default_seq_noheap,686,0,v21_residual_verification_reject,residual_chi2_worse,0.029619,0.018000,2.902468,91,0.019206,2.842713,4.985161,2.142447,-0.227273
wrpy_v21_default_seq_noheap,689,0,v21_residual_verification_reject,residual_chi2_worse,0.043218,0.018000,4.235042,106,0.023112,2.033446,8.224625,6.191179,-0.373737
wrpy_v21_default_seq_noheap,691,0,v21_residual_verification_reject,residual_chi2_worse,0.026733,0.018000,2.629817,84,0.016927,2.121239,4.541403,2.420165,-0.084507
wrpy_v21_default_seq_noheap,692,0,v21_residual_verification_reject,residual_inlier_ratio_drop,0.027904,0.018000,2.744979,98,0.018229,2.136206,3.863426,1.727220,-0.139785
wrpy_v21_default_seq_noheap,694,0,v21_residual_verification_reject,residual_inlier_ratio_drop,0.031559,0.018000,2.740749,62,0.013021,3.119094,4.749231,1.630138,-0.180000
wrpy_v21_default_seq_noheap,695,1,accepted_residual_verified,accepted_residual_verified,0.023024,0.018000,1.816587,82,0.016927,2.429168,2.600729,0.171561,-0.025316
wrpy_v21_default_seq_noheap,696,1,accepted_residual_verified,accepted_residual_verified,0.024830,0.018000,1.886012,99,0.020508,2.253819,2.427953,0.174134,-0.034483
wrpy_v21_default_seq_noheap,698,0,v21_residual_verification_reject,residual_inlier_ratio_drop,0.022325,0.018000,1.610942,92,0.019531,2.278177,2.855503,0.577326,-0.068966
wrpy_v21_default_seq_noheap,708,1,accepted_residual_verified,accepted_residual_verified,0.019322,0.018000,1.382893,114,0.025391,2.747939,2.819613,0.071673,-0.017544
wrpy_v21_default_seq_noheap,709,0,v21_residual_verification_reject,residual_chi2_worse,0.029180,0.018000,2.088497,145,0.030924,2.294851,5.072056,2.777205,-0.200000
wrpy_v21_default_seq_noheap,712,0,v21_residual_verification_reject,residual_chi2_worse,0.036140,0.018000,2.378288,112,0.021484,2.267809,5.224933,2.957124,-0.234234
wrpy_v21_default_seq_noheap,715,0,v21_residual_verification_reject,residual_chi2_worse,0.035787,0.018000,2.281936,152,0.029948,2.184098,8.782012,6.597914,-0.446667
wrpy_v21_default_seq_noheap,716,0,v21_residual_verification_reject,residual_chi2_worse,0.030898,0.018000,1.901087,136,0.026042,2.112066,4.721729,2.609663,-0.198473
wrpy_v21_default_seq_noheap,733,1,accepted_residual_verified,accepted_residual_verified,0.016076,0.014709,1.967312,138,0.027018,2.095755,2.150489,0.054733,-0.014706
wrpy_v21_default_seq_noheap,736,1,accepted_residual_verified,accepted_residual_verified,0.015560,0.014766,1.896751,167,0.032878,2.201822,2.210809,0.008987,0.000000
wrpy_v21_default_seq_noheap,767,0,v21_residual_verification_reject,residual_inlier_ratio_drop,0.016030,0.009343,3.088094,150,0.030273,2.000173,2.597958,0.597786,-0.075342
wrpy_v21_default_seq_noheap,773,0,v21_residual_verification_reject,residual_inlier_ratio_drop,0.020734,0.009646,3.869038,154,0.029948,1.620039,3.568422,1.948383,-0.082192
wrpy_v21_default_seq_noheap,776,1,accepted_residual_verified,accepted_residual_verified,0.011393,0.010576,1.939080,177,0.031901,1.814497,1.825549,0.011052,0.000000
wrpy_v21_default_seq_noheap,778,1,accepted_residual_verified,accepted_residual_verified,0.013693,0.009905,2.488292,181,0.034505,1.515971,1.584307,0.068336,0.000000
wrpy_v21_default_seq_noheap,780,1,accepted_residual_verified,accepted_residual_verified,0.010829,0.010576,1.843081,165,0.031250,1.504101,1.504521,0.000420,0.000000
wrpy_v21_default_seq_noheap,782,1,accepted_residual_verified,accepted_residual_verified,0.012541,0.012144,1.858874,174,0.030599,1.960680,1.965811,0.005131,0.000000
wrpy_v21_default_seq_noheap,783,0,v21_residual_verification_reject,residual_inlier_ratio_drop,0.025566,0.012382,3.716466,164,0.030273,1.461329,2.128877,0.667548,-0.050314
wrpy_v21_default_seq_noheap,784,1,accepted_residual_verified,accepted_residual_verified,0.015812,0.012506,2.275907,175,0.031250,1.625944,1.954617,0.328673,-0.030120
wrpy_v21_default_seq_noheap,785,1,accepted_residual_verified,accepted_residual_verified,0.013352,0.012838,1.872096,154,0.028320,1.736377,1.740061,0.003684,0.000000
wrpy_v21_default_seq_noheap,787,0,v21_residual_verification_reject,residual_chi2_worse,0.034069,0.013965,4.391278,165,0.030273,1.524496,6.599785,5.075289,-0.348101
wrpy_v21_default_seq_noheap,789,1,accepted_residual_verified,accepted_residual_verified,0.015372,0.014761,1.874497,165,0.030924,1.585065,1.592367,0.007303,0.000000
wrpy_v21_default_seq_noheap,790,1,accepted_residual_verified,accepted_residual_verified,0.015920,0.014761,1.941340,166,0.030599,1.338012,1.347034,0.009022,0.000000
wrpy_v21_default_seq_noheap,791,1,accepted_residual_verified,accepted_residual_verified,0.015136,0.014761,1.845689,171,0.032227,1.302247,1.305927,0.003680,0.000000
wrpy_v21_default_seq_noheap,792,1,accepted_residual_verified,accepted_residual_verified,0.021028,0.015280,2.477088,158,0.029297,1.230422,1.263543,0.033121,0.000000
wrpy_v21_default_seq_noheap,813,0,v21_residual_verification_reject,residual_chi2_worse,0.031653,0.018000,2.894353,200,0.040365,1.920272,14.967741,13.047469,-0.573604
wrpy_v21_default_seq_noheap,814,0,v21_residual_verification_reject,residual_chi2_worse,0.037798,0.018000,3.456249,156,0.035156,1.953827,21.830471,19.876645,-0.724832
wrpy_v21_default_seq_noheap,815,0,v21_residual_verification_reject,residual_chi2_worse,0.042926,0.018000,3.925125,112,0.024089,2.866471,37.420382,34.553911,-0.873874
