case,frame,applied,reason,v21_reason,estimated_step,allowed_step,step_ratio,static_inliers,static_grid_coverage,dynamic_feature_grid_coverage,v21_before_chi2,v21_after_chi2,v21_chi2_inc,v21_inlier_delta,v22_hazard
whalfsphere_v22_default,62,1,accepted,accepted_residual_verified,0.022689,0.018000,1.646505,136,0.026693,0.055664,1.650183,1.721282,0.071099,0.000000,0
whalfsphere_v22_default,63,1,accepted,accepted_v22_pose_chain_context,0.031428,0.018000,2.280686,165,0.031250,0.054036,1.310462,4.977640,3.667178,-0.237500,0
whalfsphere_v22_default,65,1,accepted,accepted_residual_verified,0.018503,0.018000,1.338743,153,0.031250,0.068359,1.294748,1.296040,0.001292,0.000000,0
whalfsphere_v22_default,75,1,accepted,accepted_v22_pose_chain_context,0.029104,0.018000,2.322982,88,0.016927,0.078125,2.417754,3.718717,1.300963,-0.108434,0
whalfsphere_v22_default,76,1,accepted,accepted_v22_pose_chain_context,0.025298,0.018000,1.946852,115,0.022461,0.079753,1.846855,2.718988,0.872133,-0.090909,0
whalfsphere_v22_default,79,1,accepted,accepted_v22_pose_chain_context,0.026003,0.018000,2.001091,139,0.026367,0.046224,2.139706,3.683182,1.543476,-0.158273,0
whalfsphere_v22_default,82,1,accepted,accepted_residual_verified,0.020248,0.018000,1.496717,76,0.015951,0.089193,2.667418,2.761801,0.094383,0.000000,0
whalfsphere_v22_default,83,0,v21_residual_verification_reject,v22_dynamic_occlusion_residual_reject,0.055146,0.018000,3.960981,104,0.022461,0.058594,1.858979,28.687933,26.828954,-0.663462,1
whalfsphere_v22_default,85,1,accepted,accepted_v22_pose_chain_context,0.027305,0.018000,1.822605,98,0.020182,0.067383,2.173208,3.473751,1.300542,-0.092784,0
whalfsphere_v22_default,87,1,accepted,accepted_v22_pose_chain_context,0.030632,0.018000,2.116765,64,0.011393,0.084635,2.990494,3.928338,0.937845,-0.126984,0
whalfsphere_v22_default,89,0,v21_residual_verification_reject,v22_dynamic_occlusion_residual_reject,0.054583,0.018000,3.929139,51,0.010742,0.069661,2.922178,9.466517,6.544339,-0.220000,1
whalfsphere_v22_default,90,0,v21_residual_verification_reject,v22_dynamic_occlusion_residual_reject,0.042472,0.018000,3.046192,49,0.010742,0.069987,2.363563,32.304522,29.940959,-0.553191,1
whalfsphere_v22_default,91,0,v21_residual_verification_reject,v22_dynamic_occlusion_residual_reject,0.047168,0.018000,3.259417,44,0.009115,0.073242,2.267457,16.449087,14.181630,-0.658537,1
whalfsphere_v22_default,92,0,v21_residual_verification_reject,v22_dynamic_occlusion_residual_reject,0.035717,0.018000,2.468100,61,0.012695,0.033203,2.739085,13.370463,10.631377,-0.442623,1
whalfsphere_v22_default,93,0,v21_residual_verification_reject,v22_dynamic_occlusion_residual_reject,0.034341,0.018000,2.373013,88,0.017578,0.036458,2.560607,21.648317,19.087709,-0.505882,1
whalfsphere_v22_default,94,0,v21_residual_verification_reject,v22_dynamic_occlusion_residual_reject,0.046269,0.018000,3.197283,77,0.016276,0.037760,2.992130,23.543679,20.551550,-0.500000,1
whalfsphere_v22_default,95,1,accepted,accepted_v22_pose_chain_context,0.042135,0.018000,2.911651,104,0.018880,0.021810,2.461614,36.138235,33.676621,-0.500000,0
whalfsphere_v22_default,96,1,accepted,accepted_v22_pose_chain_context,0.030522,0.018000,2.109158,105,0.022135,0.026042,2.963430,9.314221,6.350791,-0.388350,0
whalfsphere_v22_default,97,1,accepted,accepted_v22_pose_chain_context,0.027807,0.018000,1.856104,117,0.021484,0.027018,2.481523,3.342592,0.861069,-0.060870,0
whalfsphere_v22_default,98,1,accepted,accepted_v22_pose_chain_context,0.025943,0.018000,1.669443,108,0.021810,0.036784,2.597558,5.133445,2.535887,-0.168224,0
whalfsphere_v22_default,99,1,accepted,accepted_v22_pose_chain_context,0.024060,0.018000,1.531993,125,0.020508,0.038411,2.568169,3.922670,1.354501,-0.096000,0
whalfsphere_v22_default,100,1,accepted,accepted_v22_pose_chain_context,0.033360,0.018000,2.040258,152,0.025065,0.036133,2.547275,7.147568,4.600293,-0.165563,0
whalfsphere_v22_default,102,1,accepted,accepted_v22_pose_chain_context,0.023508,0.018000,1.290586,162,0.028971,0.033529,2.251758,2.944912,0.693154,-0.086420,0
whalfsphere_v22_default,103,1,accepted,accepted_residual_verified,0.021156,0.018000,1.161431,195,0.033529,0.034831,2.162484,2.480579,0.318095,-0.046154,0
whalfsphere_v22_default,104,1,accepted,accepted_v22_pose_chain_context,0.025245,0.018000,1.385962,195,0.034505,0.029948,1.869245,3.328043,1.458798,-0.092308,0
whalfsphere_v22_default,106,1,accepted,accepted_v22_pose_chain_context,0.032956,0.018000,1.830855,160,0.026693,0.029622,2.175257,6.814774,4.639517,-0.362500,0
whalfsphere_v22_default,107,1,accepted,accepted_residual_verified,0.019965,0.018000,1.109148,177,0.028646,0.025716,2.240863,2.295852,0.054989,-0.016949,0
whalfsphere_v22_default,108,1,accepted,accepted_v22_pose_chain_context,0.028515,0.018000,1.584180,216,0.039062,0.031576,1.760778,4.483046,2.722268,-0.166667,0
whalfsphere_v22_default,109,1,accepted,accepted_v22_pose_chain_context,0.032983,0.018000,1.832388,207,0.034505,0.030273,1.731111,7.353303,5.622192,-0.338164,0
whalfsphere_v22_default,111,1,accepted,accepted_v22_pose_chain_context,0.024545,0.018000,1.363614,229,0.039714,0.024089,1.921128,2.697397,0.776269,-0.069869,0
whalfsphere_v22_default,112,1,accepted,accepted_v22_pose_chain_context,0.024063,0.018000,1.336843,237,0.037760,0.024089,1.932590,3.070321,1.137731,-0.109705,0
whalfsphere_v22_default,113,1,accepted,accepted_v22_pose_chain_context,0.032634,0.018000,1.812977,219,0.036133,0.022786,1.749729,7.863015,6.113286,-0.351598,0
whalfsphere_v22_default,114,1,accepted,accepted_residual_verified,0.021638,0.018000,1.202101,210,0.037760,0.022786,1.886622,2.230672,0.344050,-0.047619,0
whalfsphere_v22_default,115,1,accepted,accepted_residual_verified,0.019897,0.018000,1.105366,211,0.035807,0.017904,1.932978,1.975809,0.042832,-0.009479,0
whalfsphere_v22_default,117,1,accepted,accepted_v22_pose_chain_context,0.031472,0.018000,1.748460,195,0.034505,0.025391,2.204386,5.696243,3.491856,-0.266667,0
whalfsphere_v22_default,118,1,accepted,accepted_residual_verified,0.019316,0.018000,1.073093,190,0.034505,0.024089,2.219743,2.268220,0.048477,-0.015873,0
whalfsphere_v22_default,119,1,accepted,accepted_v22_pose_chain_context,0.031630,0.018000,1.757207,171,0.028646,0.021484,2.170557,5.039985,2.869428,-0.187135,0
whalfsphere_v22_default,121,1,accepted,accepted_v22_pose_chain_context,0.032005,0.018000,1.778049,154,0.029948,0.020508,2.347684,4.369528,2.021844,-0.177632,0
whalfsphere_v22_default,122,1,accepted,accepted_v22_pose_chain_context,0.026037,0.018000,1.446504,225,0.040039,0.016602,2.410326,4.022558,1.612232,-0.151111,0
whalfsphere_v22_default,123,1,accepted,accepted_v22_pose_chain_context,0.028407,0.018000,1.578152,215,0.038411,0.020508,2.169044,4.526810,2.357766,-0.167442,0
whalfsphere_v22_default,124,1,accepted,accepted_v22_pose_chain_context,0.026478,0.018000,1.471014,218,0.038737,0.019531,2.290710,3.886054,1.595344,-0.135514,0
whalfsphere_v22_default,125,1,accepted,accepted_v22_pose_chain_context,0.022391,0.018000,1.243930,200,0.035482,0.013672,2.234148,2.810360,0.576212,-0.060000,0
whalfsphere_v22_default,127,1,accepted,accepted_residual_verified,0.020024,0.018000,1.112448,213,0.037435,0.014323,2.309607,2.394206,0.084600,-0.014151,0
whalfsphere_v22_default,129,1,accepted,accepted_residual_verified,0.020655,0.018000,1.147483,189,0.034831,0.013672,1.859883,2.049038,0.189155,-0.021164,0
whalfsphere_v22_default,137,1,accepted,accepted_residual_verified,0.019648,0.018000,1.091585,271,0.045573,0.000000,1.851509,1.948332,0.096823,-0.022140,0
whalfsphere_v22_default,140,1,accepted,accepted_v22_pose_chain_context,0.034460,0.018000,1.914432,256,0.043620,0.000000,1.985869,10.036066,8.050196,-0.445312,0
whalfsphere_v22_default,141,1,accepted,accepted_v22_pose_chain_context,0.025166,0.018000,1.398118,258,0.042969,0.000000,1.935423,3.803746,1.868323,-0.143411,0
whalfsphere_v22_default,143,1,accepted,accepted_residual_verified,0.018421,0.018000,1.023382,237,0.039714,0.000000,1.948576,1.954133,0.005557,-0.004219,0
whalfsphere_v22_default,144,1,accepted,accepted_v22_pose_chain_context,0.023496,0.018000,1.305344,285,0.046224,0.000000,1.681470,2.775058,1.093588,-0.073684,0
whalfsphere_v22_default,156,1,accepted,accepted_v22_pose_chain_context,0.023347,0.018000,1.632427,259,0.044271,0.000000,1.768753,2.788187,1.019434,-0.096525,0
whalfsphere_v22_default,157,1,accepted,accepted_residual_verified,0.023201,0.018000,1.568719,180,0.034505,0.000000,2.155692,2.533921,0.378229,-0.050000,0
whalfsphere_v22_default,159,1,accepted,accepted_v22_pose_chain_context,0.035010,0.018000,2.336308,222,0.040690,0.000000,1.919222,9.045662,7.126440,-0.382883,0
whalfsphere_v22_default,160,1,accepted,accepted_residual_verified,0.020359,0.018000,1.358646,218,0.043294,0.000000,1.891378,2.071829,0.180451,-0.027523,0
whalfsphere_v22_default,162,1,accepted,accepted_v22_pose_chain_context,0.033926,0.018000,2.041977,244,0.044271,0.006185,1.784729,9.388991,7.604262,-0.405738,0
whalfsphere_v22_default,163,1,accepted,accepted_v22_pose_chain_context,0.027664,0.018000,1.665032,224,0.043945,0.008789,1.860512,4.842838,2.982326,-0.215247,0
whalfsphere_v22_default,165,1,accepted,accepted_v22_pose_chain_context,0.027863,0.018000,1.555294,246,0.048177,0.007161,1.924032,4.716681,2.792649,-0.186992,0
whalfsphere_v22_default,168,1,accepted,accepted_residual_verified,0.020435,0.018000,1.178370,253,0.045247,0.009766,1.453342,1.650602,0.197260,-0.027888,0
whalfsphere_v22_default,172,1,accepted,accepted_v22_pose_chain_context,0.024865,0.018000,1.570749,245,0.047201,0.010417,1.680772,3.302111,1.621339,-0.144033,0
whalfsphere_v22_default,175,1,accepted,accepted_residual_verified,0.018254,0.018000,1.188796,265,0.048503,0.008789,1.399607,1.401313,0.001706,0.000000,0
whalfsphere_v22_default,176,1,accepted,accepted_residual_verified,0.019264,0.018000,1.169415,259,0.048177,0.000000,1.564749,1.619549,0.054800,-0.015444,0
whalfsphere_v22_default,177,1,accepted,accepted_v22_pose_chain_context,0.025908,0.018000,1.486468,215,0.040365,0.004883,1.667438,3.824742,2.157304,-0.176744,0
whalfsphere_v22_default,178,1,accepted,accepted_v22_pose_chain_context,0.023094,0.018000,1.295727,207,0.039388,0.005534,1.736603,2.526000,0.789396,-0.062802,0
whalfsphere_v22_default,180,1,accepted,accepted_v22_pose_chain_context,0.022023,0.018000,1.223482,242,0.042969,0.002930,1.526838,2.070802,0.543965,-0.053942,0
whalfsphere_v22_default,181,1,accepted,accepted_v22_pose_chain_context,0.028221,0.018000,1.567858,227,0.043945,0.004883,1.461851,5.029939,3.568088,-0.228700,0
whalfsphere_v22_default,182,1,accepted,accepted_v22_pose_chain_context,0.022961,0.018000,1.275637,223,0.044922,0.002279,1.642661,2.564201,0.921540,-0.076923,0
whalfsphere_v22_default,184,1,accepted,accepted_v22_pose_chain_context,0.035657,0.018000,1.980952,215,0.038086,0.005859,1.978783,12.457856,10.479072,-0.455399,0
whalfsphere_v22_default,185,1,accepted,accepted_v22_pose_chain_context,0.037002,0.018000,2.055673,174,0.033203,0.000000,2.186106,10.972580,8.786473,-0.425287,0
whalfsphere_v22_default,187,1,accepted,accepted_v22_pose_chain_context,0.027734,0.018000,1.540754,236,0.040690,0.004232,1.559482,3.914716,2.355234,-0.144068,0
whalfsphere_v22_default,188,1,accepted,accepted_v22_pose_chain_context,0.041542,0.018000,2.307908,219,0.042643,0.003906,1.819337,17.796727,15.977390,-0.518349,0
whalfsphere_v22_default,189,1,accepted,accepted_v22_pose_chain_context,0.025024,0.018000,1.390238,228,0.042643,0.004883,1.821841,3.261124,1.439283,-0.135965,0
whalfsphere_v22_default,190,1,accepted,accepted_v22_pose_chain_context,0.032013,0.018000,1.778504,216,0.043620,0.005208,1.825651,8.092362,6.266711,-0.337963,0
whalfsphere_v22_default,191,1,accepted,accepted_v22_pose_chain_context,0.038447,0.018000,2.135940,216,0.042318,0.002279,1.992660,14.907481,12.914821,-0.481481,0
whalfsphere_v22_default,225,1,accepted,accepted_v22_pose_chain_context,0.086419,0.018000,5.303875,90,0.016602,0.001302,2.130575,13.873443,11.742869,-0.411111,0
whalfsphere_v22_default,226,1,accepted,accepted_v22_pose_chain_context,0.024062,0.018000,1.476793,104,0.019857,0.000326,2.178837,3.122599,0.943763,-0.067308,0
whalfsphere_v22_default,227,0,v21_residual_verification_reject,v22_dynamic_occlusion_residual_reject,0.040980,0.018000,2.441939,119,0.023763,0.054036,2.438776,15.192509,12.753733,-0.284483,1
whalfsphere_v22_default,228,0,v21_residual_verification_reject,v22_dynamic_occlusion_residual_reject,0.037885,0.018000,2.225205,112,0.021484,0.056966,2.483454,10.090158,7.606705,-0.234234,1
whalfsphere_v22_default,230,1,accepted,accepted_residual_verified,0.019597,0.018000,1.176976,102,0.020182,0.061198,2.239529,2.259726,0.020197,-0.011494,0
whalfsphere_v22_default,233,1,accepted,accepted_v22_pose_chain_context,0.026635,0.018000,1.623370,53,0.012044,0.041341,2.220951,6.589141,4.368190,-0.250000,0
whalfsphere_v22_default,234,0,v21_residual_verification_reject,v22_dynamic_occlusion_residual_reject,0.047961,0.018000,2.861943,95,0.019857,0.046549,2.430159,211.817406,209.387247,-0.978723,1
whalfsphere_v22_default,235,0,v21_residual_verification_reject,v22_dynamic_occlusion_residual_reject,0.046507,0.018000,2.657465,96,0.019857,0.043620,2.771510,180.171013,177.399503,-0.931818,1
whalfsphere_v22_default,236,0,v21_residual_verification_reject,v22_dynamic_occlusion_residual_reject,0.044767,0.018000,2.558030,64,0.016276,0.067057,2.674175,47.771300,45.097125,-0.859375,1
whalfsphere_v22_default,237,0,v21_residual_verification_reject,v22_dynamic_occlusion_residual_reject,0.071122,0.018000,4.064005,42,0.009115,0.055339,3.301771,178.196787,174.895016,-0.976190,1
whalfsphere_v22_default,238,0,v21_residual_verification_reject,v22_dynamic_occlusion_residual_reject,0.053143,0.018000,3.036667,98,0.019206,0.045898,2.775427,134.312362,131.536935,-1.000000,1
whalfsphere_v22_default,239,0,v21_residual_verification_reject,v22_dynamic_occlusion_residual_reject,0.059177,0.018000,3.136497,95,0.021484,0.060872,2.853238,115.982310,113.129073,-0.989247,1
whalfsphere_v22_default,240,1,accepted,accepted_residual_verified,0.019316,0.018000,1.023783,136,0.028971,0.054362,1.970948,2.017607,0.046659,0.000000,0
whalfsphere_v22_default,242,1,accepted,accepted_residual_verified,0.020122,0.018000,1.066519,139,0.026367,0.050781,2.261495,2.335966,0.074471,-0.021583,0
whalfsphere_v22_default,245,1,accepted,accepted_v22_pose_chain_context,0.024397,0.018000,1.293060,125,0.026367,0.042643,2.318061,3.812814,1.494754,-0.144000,0
whalfsphere_v22_default,246,1,accepted,accepted_v22_pose_chain_context,0.026245,0.018000,1.391055,117,0.025065,0.023438,2.517093,4.702303,2.185210,-0.230769,0
whalfsphere_v22_default,247,1,accepted,accepted_v22_pose_chain_context,0.034637,0.018000,1.878174,166,0.035807,0.017253,2.291255,13.853883,11.562628,-0.518293,0
whalfsphere_v22_default,248,1,accepted,accepted_residual_verified,0.022322,0.018000,1.210434,141,0.031250,0.048503,2.181588,2.355318,0.173730,-0.028777,0
whalfsphere_v22_default,250,1,accepted,accepted_v22_pose_chain_context,0.046845,0.018000,2.540169,159,0.030924,0.034831,2.318910,29.706523,27.387613,-0.704403,0
whalfsphere_v22_default,253,1,accepted,accepted_v22_pose_chain_context,0.038828,0.018000,2.157063,196,0.041667,0.027669,1.769373,13.214542,11.445169,-0.489796,0
whalfsphere_v22_default,254,1,accepted,accepted_v22_pose_chain_context,0.023168,0.018000,1.287074,192,0.040365,0.018229,2.281564,3.001659,0.720095,-0.104167,0
whalfsphere_v22_default,260,1,accepted,accepted_v22_pose_chain_context,0.026571,0.018000,1.476136,232,0.047852,0.023438,1.803704,3.948365,2.144661,-0.155172,0
whalfsphere_v22_default,261,1,accepted,accepted_residual_verified,0.018527,0.018000,1.029253,226,0.043620,0.021159,1.972613,1.979298,0.006685,0.000000,0
whalfsphere_v22_default,264,1,accepted,accepted_v22_pose_chain_context,0.031771,0.018000,1.765041,218,0.043620,0.032227,1.883407,6.678454,4.795047,-0.302752,0
whalfsphere_v22_default,267,1,accepted,accepted_v22_pose_chain_context,0.029099,0.018000,1.616598,210,0.041341,0.039714,2.090307,5.735157,3.644850,-0.223810,0
whalfsphere_v22_default,268,1,accepted,accepted_v22_pose_chain_context,0.033220,0.018000,1.845551,200,0.042643,0.040039,2.090667,8.835058,6.744391,-0.375000,0
whalfsphere_v22_default,269,1,accepted,accepted_v22_pose_chain_context,0.037158,0.018000,2.064368,174,0.035482,0.041341,2.167758,12.989764,10.822007,-0.448276,0
whalfsphere_v22_default,271,1,accepted,accepted_residual_verified,0.019562,0.018000,1.086758,199,0.041016,0.042643,2.395220,2.450493,0.055272,-0.030151,0
whalfsphere_v22_default,272,1,accepted,accepted_v22_pose_chain_context,0.022288,0.018000,1.238223,250,0.047852,0.008464,2.030162,2.555346,0.525184,-0.056000,0
whalfsphere_v22_default,273,1,accepted,accepted_v22_pose_chain_context,0.024086,0.018000,1.338123,226,0.040690,0.010091,2.077725,3.380279,1.302554,-0.115044,0
whalfsphere_v22_default,274,1,accepted,accepted_v22_pose_chain_context,0.022581,0.018000,1.254479,239,0.041016,0.013021,1.969438,2.517946,0.548509,-0.079498,0
whalfsphere_v22_default,439,1,accepted,accepted_residual_verified,0.018544,0.018000,1.341730,225,0.042318,0.048503,2.020708,2.028439,0.007730,0.000000,0
whalfsphere_v22_default,440,1,accepted,accepted_v22_pose_chain_context,0.027658,0.018000,1.959822,265,0.046875,0.014323,2.520126,5.286062,2.765936,-0.241509,0
whalfsphere_v22_default,441,1,accepted,accepted_v22_pose_chain_context,0.031409,0.018000,2.180032,213,0.038411,0.020182,2.706710,7.165617,4.458907,-0.352113,0
whalfsphere_v22_default,442,1,accepted,accepted_v22_pose_chain_context,0.042645,0.018000,2.959907,274,0.046875,0.024740,2.500636,25.095676,22.595040,-0.784091,0
whalfsphere_v22_default,446,1,accepted,accepted_v22_pose_chain_context,0.027814,0.018000,1.833009,231,0.038737,0.023438,2.815444,6.422130,3.606686,-0.324324,0
whalfsphere_v22_default,447,1,accepted,accepted_v22_pose_chain_context,0.067418,0.018000,4.165402,218,0.041016,0.021810,1.987362,92.197955,90.210593,-0.976959,0
whalfsphere_v22_default,448,1,accepted,accepted_residual_verified,0.019447,0.018000,1.201529,302,0.049805,0.029297,2.429971,2.482307,0.052336,-0.023256,0
whalfsphere_v22_default,449,1,accepted,accepted_residual_verified,0.020455,0.018000,1.263793,220,0.036458,0.024414,2.499788,2.736960,0.237172,-0.045662,0
whalfsphere_v22_default,450,1,accepted,accepted_v22_pose_chain_context,0.029611,0.018000,1.829477,188,0.033854,0.027344,2.480256,4.945966,2.465711,-0.219251,0
whalfsphere_v22_default,451,1,accepted,accepted_v22_pose_chain_context,0.039465,0.018000,2.438330,174,0.029948,0.034180,2.663501,19.151644,16.488143,-0.713450,0
whalfsphere_v22_default,452,1,accepted,accepted_v22_pose_chain_context,0.021617,0.018000,1.242842,239,0.040690,0.053385,1.977898,2.514991,0.537093,-0.052863,0
whalfsphere_v22_default,453,1,accepted,accepted_residual_verified,0.019474,0.018000,1.081889,206,0.036133,0.060221,2.291120,2.383593,0.092473,-0.020305,0
whalfsphere_v22_default,454,1,accepted,accepted_residual_verified,0.019925,0.018000,1.106945,191,0.033529,0.061849,2.425810,2.548660,0.122850,-0.027322,0
whalfsphere_v22_default,455,1,accepted,accepted_v22_pose_chain_context,0.026683,0.018000,1.482391,170,0.033529,0.009766,2.453997,5.697964,3.243968,-0.297619,0
whalfsphere_v22_default,456,1,accepted,accepted_v22_pose_chain_context,0.026587,0.018000,1.477050,156,0.028971,0.014323,2.306379,4.681966,2.375587,-0.206452,0
whalfsphere_v22_default,460,1,accepted,accepted_v22_pose_chain_context,0.023169,0.018000,1.287155,193,0.033203,0.056315,2.209681,3.100182,0.890500,-0.099476,0
whalfsphere_v22_default,461,1,accepted,accepted_v22_pose_chain_context,0.026577,0.018000,1.476497,168,0.030599,0.045898,2.296850,4.126758,1.829908,-0.171779,0
whalfsphere_v22_default,462,1,accepted,accepted_v22_pose_chain_context,0.034908,0.018000,1.939322,171,0.030599,0.049479,2.386229,9.130250,6.744021,-0.394118,0
whalfsphere_v22_default,463,1,accepted,accepted_v22_pose_chain_context,0.030024,0.018000,1.667975,168,0.032552,0.052734,2.179864,6.964569,4.784705,-0.349398,0
whalfsphere_v22_default,464,1,accepted,accepted_v22_pose_chain_context,0.020684,0.018000,1.149111,188,0.033203,0.050130,2.123912,2.376104,0.252193,-0.053191,0
whalfsphere_v22_default,465,1,accepted,accepted_v22_pose_chain_context,0.023066,0.018000,1.281446,179,0.030599,0.051758,2.186897,2.869455,0.682558,-0.078652,0
whalfsphere_v22_default,467,1,accepted,accepted_residual_verified,0.021047,0.018000,1.169279,163,0.032227,0.038737,2.085178,2.407337,0.322159,-0.031250,0
whalfsphere_v22_default,542,1,accepted,accepted_residual_verified,0.018437,0.018000,0.945706,166,0.030273,0.081055,1.768688,1.770476,0.001787,0.000000,0
whalfsphere_v22_default,543,1,accepted,accepted_residual_verified,0.018437,0.018000,0.945729,132,0.022786,0.087891,2.128438,2.137742,0.009304,0.000000,0
whalfsphere_v22_default,554,1,accepted,accepted_residual_verified,0.020585,0.018000,1.413892,129,0.026042,0.083984,1.991804,2.128185,0.136382,-0.016529,0
whalfsphere_v22_default,556,1,accepted,accepted_v22_pose_chain_context,0.021897,0.018000,1.627381,71,0.016927,0.101562,2.398641,2.869201,0.470560,-0.057971,0
whalfsphere_v22_default,559,1,accepted,accepted_residual_verified,0.021547,0.018000,1.623977,107,0.023112,0.081706,1.838837,2.158962,0.320125,-0.030000,0
whalfsphere_v22_default,560,1,accepted,accepted_residual_verified,0.025661,0.018000,1.934040,136,0.027995,0.063802,1.757025,2.454755,0.697730,-0.038760,0
whalfsphere_v22_default,561,1,accepted,accepted_v22_pose_chain_context,0.022896,0.018000,1.725661,173,0.036458,0.062500,1.933776,2.322399,0.388622,-0.063694,0
whalfsphere_v22_default,573,1,accepted,accepted_residual_verified,0.021613,0.018000,1.749280,215,0.040690,0.010417,1.625035,1.801628,0.176593,-0.013953,0
whalfsphere_v22_default,574,1,accepted,accepted_v22_pose_chain_context,0.025440,0.018000,2.059013,183,0.035807,0.011068,1.535617,2.327395,0.791778,-0.054645,0
whalfsphere_v22_default,586,1,accepted,accepted_residual_verified,0.018156,0.018000,1.578194,161,0.034831,0.040039,1.376109,1.377761,0.001653,0.000000,0
whalfsphere_v22_default,599,1,accepted,accepted_v22_pose_chain_context,0.025251,0.017908,2.538085,195,0.038086,0.026367,1.648984,2.646881,0.997897,-0.078125,0
whalfsphere_v22_default,600,1,accepted,accepted_residual_verified,0.023557,0.018000,2.351417,170,0.034180,0.023438,1.384856,1.989806,0.604950,-0.017857,0
whalfsphere_v22_default,601,1,accepted,accepted_residual_verified,0.018228,0.018000,1.806958,160,0.031901,0.027995,1.407510,1.409866,0.002356,0.000000,0
whalfsphere_v22_default,602,1,accepted,accepted_residual_verified,0.023716,0.018000,2.302468,149,0.030273,0.013346,1.774071,2.391244,0.617174,-0.041096,0
whalfsphere_v22_default,603,1,accepted,accepted_residual_verified,0.020737,0.018000,1.933769,187,0.034831,0.013672,1.945428,2.173792,0.228364,-0.037634,0
whalfsphere_v22_default,604,1,accepted,accepted_residual_verified,0.019068,0.018000,1.778175,160,0.030599,0.014323,1.424190,1.442204,0.018014,-0.006289,0
whalfsphere_v22_default,606,1,accepted,accepted_residual_verified,0.018376,0.018000,1.713606,153,0.026693,0.034180,1.547348,1.550423,0.003075,0.000000,0
whalfsphere_v22_default,613,1,accepted,accepted_residual_verified,0.023789,0.018000,1.891225,135,0.026693,0.025391,1.463506,2.011120,0.547614,-0.038760,0
whalfsphere_v22_default,614,1,accepted,accepted_residual_verified,0.021642,0.018000,1.608485,141,0.026042,0.049479,1.403656,1.580801,0.177145,-0.015385,0
whalfsphere_v22_default,617,1,accepted,accepted_v22_pose_chain_context,0.027060,0.018000,1.998189,137,0.025065,0.033203,1.104402,2.457674,1.353273,-0.067164,0
whalfsphere_v22_default,618,1,accepted,accepted_v22_pose_chain_context,0.025939,0.018000,1.870111,158,0.028646,0.037109,1.255488,1.992933,0.737445,-0.056962,0
whalfsphere_v22_default,619,1,accepted,accepted_residual_verified,0.020169,0.018000,1.330959,153,0.028971,0.035482,1.396134,1.414696,0.018563,0.000000,0
whalfsphere_v22_default,620,1,accepted,accepted_residual_verified,0.020463,0.018000,1.266304,174,0.030273,0.032227,1.554126,1.635709,0.081582,-0.018182,0
whalfsphere_v22_default,621,1,accepted,accepted_residual_verified,0.018426,0.018000,1.140242,168,0.032878,0.041667,1.533200,1.533794,0.000593,0.000000,0
whalfsphere_v22_default,622,1,accepted,accepted_residual_verified,0.022082,0.018000,1.366488,185,0.033203,0.041992,1.766617,1.927245,0.160628,-0.028090,0
whalfsphere_v22_default,623,1,accepted,accepted_residual_verified,0.024038,0.018000,1.461484,135,0.027995,0.066406,1.646084,1.820736,0.174652,-0.007576,0
whalfsphere_v22_default,624,1,accepted,accepted_residual_verified,0.021171,0.018000,1.287177,144,0.026042,0.070964,1.424442,1.452943,0.028501,0.000000,0
