case,frame,applied,reason,v21_reason,estimated_step,allowed_step,step_ratio,static_inliers,static_grid_coverage,dynamic_feature_grid_coverage,v21_before_chi2,v21_after_chi2,v21_chi2_inc,v21_inlier_delta,v22_hazard
wrpy_v22_default,81,1,accepted,accepted_v22_pose_chain_context,0.030291,0.018000,2.041784,236,0.038411,0.039388,1.904006,3.011993,1.107987,-0.095890,0
wrpy_v22_default,83,1,accepted,accepted_v22_pose_chain_context,0.033942,0.018000,2.065854,210,0.041992,0.007812,1.766714,4.258944,2.492230,-0.179104,0
wrpy_v22_default,91,1,accepted,accepted_residual_verified,0.019192,0.018000,1.293637,225,0.047526,0.013672,1.825701,1.904221,0.078520,-0.009174,0
wrpy_v22_default,97,1,accepted,accepted_v22_pose_chain_context,0.023178,0.018000,1.578597,237,0.046549,0.015951,2.140189,4.004471,1.864281,-0.152466,0
wrpy_v22_default,111,1,accepted,accepted_residual_verified,0.018639,0.018000,1.293807,272,0.048177,0.013021,2.406821,2.440551,0.033731,-0.019231,0
wrpy_v22_default,114,1,accepted,accepted_residual_verified,0.019272,0.018000,1.230180,234,0.047201,0.013997,2.377267,2.517808,0.140541,-0.039648,0
wrpy_v22_default,116,1,accepted,accepted_v22_pose_chain_context,0.023550,0.018000,1.434334,223,0.041667,0.010742,2.297341,5.733780,3.436439,-0.244240,0
wrpy_v22_default,118,1,accepted,accepted_v22_pose_chain_context,0.033707,0.018000,1.908974,209,0.040690,0.012370,2.771843,24.479436,21.707592,-0.670051,0
wrpy_v22_default,119,1,accepted,accepted_v22_pose_chain_context,0.025403,0.018000,1.416008,152,0.023438,0.031576,2.358116,3.872582,1.514466,-0.104167,0
wrpy_v22_default,120,1,accepted,accepted_v22_pose_chain_context,0.023632,0.018000,1.312897,173,0.029622,0.035482,2.914146,3.909367,0.995221,-0.137725,0
wrpy_v22_default,121,1,accepted,accepted_v22_pose_chain_context,0.027138,0.018000,1.507693,195,0.034180,0.036784,2.392626,4.300891,1.908265,-0.204188,0
wrpy_v22_default,122,1,accepted,accepted_v22_pose_chain_context,0.043386,0.018000,2.410325,148,0.025065,0.036784,2.430460,20.905200,18.474740,-0.741007,0
wrpy_v22_default,123,1,accepted,accepted_v22_pose_chain_context,0.024084,0.018000,1.338023,195,0.029948,0.043294,2.233100,2.952564,0.719464,-0.075676,0
wrpy_v22_default,124,1,accepted,accepted_v22_pose_chain_context,0.030194,0.018000,1.677449,141,0.023438,0.046549,2.576370,6.495810,3.919440,-0.300752,0
wrpy_v22_default,125,1,accepted,accepted_v22_pose_chain_context,0.026811,0.018000,1.489480,181,0.032552,0.026042,2.289096,3.863700,1.574605,-0.151685,0
wrpy_v22_default,126,1,accepted,accepted_v22_pose_chain_context,0.043381,0.018000,2.410030,151,0.026367,0.024089,2.462318,12.597193,10.134875,-0.540000,0
wrpy_v22_default,127,1,accepted,accepted_residual_verified,0.018086,0.018000,1.004772,203,0.035482,0.035482,2.028940,2.029170,0.000230,0.000000,0
wrpy_v22_default,129,1,accepted,accepted_v22_pose_chain_context,0.031839,0.018000,1.768833,160,0.028646,0.020833,2.155414,6.944355,4.788941,-0.333333,0
wrpy_v22_default,130,1,accepted,accepted_v22_pose_chain_context,0.034548,0.018000,1.919349,201,0.037109,0.024414,2.058713,12.165544,10.106831,-0.477387,0
wrpy_v22_default,131,1,accepted,accepted_v22_pose_chain_context,0.031322,0.018000,1.740132,132,0.028320,0.028320,2.838148,3.255458,0.417310,-0.090909,0
wrpy_v22_default,132,1,accepted,accepted_v22_pose_chain_context,0.042164,0.018000,2.342451,203,0.036458,0.023112,2.189140,21.967893,19.778754,-0.704663,0
wrpy_v22_default,133,1,accepted,accepted_v22_pose_chain_context,0.050719,0.018000,2.817698,139,0.027344,0.019531,2.460649,17.280231,14.819582,-0.666667,0
wrpy_v22_default,136,1,accepted,accepted_v22_pose_chain_context,0.028703,0.018000,1.594612,179,0.036458,0.010742,2.215179,5.571044,3.355865,-0.250000,0
wrpy_v22_default,139,1,accepted,accepted_residual_verified,0.019536,0.018000,1.085314,224,0.044596,0.008789,2.108333,2.177764,0.069431,-0.009259,0
wrpy_v22_default,141,1,accepted,accepted_residual_verified,0.018574,0.018000,1.031877,181,0.033854,0.015951,2.551205,2.554393,0.003188,-0.005814,0
wrpy_v22_default,144,1,accepted,accepted_v22_pose_chain_context,0.066732,0.018000,3.707340,59,0.014974,0.014648,2.838392,104.892198,102.053806,-0.775862,0
wrpy_v22_default,147,1,accepted,accepted_v22_pose_chain_context,0.028477,0.018000,1.582078,83,0.019531,0.010742,2.438549,4.247674,1.809125,-0.151899,0
wrpy_v22_default,148,1,accepted,accepted_v22_pose_chain_context,0.023119,0.018000,1.284402,74,0.019206,0.007812,2.691459,3.467122,0.775663,-0.072464,0
wrpy_v22_default,149,1,accepted,accepted_residual_verified,0.021343,0.018000,1.185694,62,0.014648,0.009115,2.546069,2.567070,0.021000,-0.016393,0
wrpy_v22_default,153,1,accepted,accepted_v22_pose_chain_context,0.040775,0.018000,2.265282,102,0.022786,0.009115,2.385483,10.320551,7.935068,-0.465347,0
wrpy_v22_default,154,1,accepted,accepted_v22_pose_chain_context,0.043139,0.018000,2.396604,127,0.027995,0.011393,2.099591,19.838034,17.738443,-0.600000,0
wrpy_v22_default,155,1,accepted,accepted_v22_pose_chain_context,0.052405,0.018000,2.547552,121,0.026367,0.011719,1.839259,13.096419,11.257161,-0.542373,0
wrpy_v22_default,156,1,accepted,accepted_v22_pose_chain_context,0.037172,0.018000,2.065124,112,0.023438,0.009766,2.153836,11.588835,9.434998,-0.424528,0
wrpy_v22_default,157,1,accepted,accepted_v22_pose_chain_context,0.025575,0.018000,1.243267,83,0.020508,0.009440,2.046919,2.701300,0.654381,-0.111111,0
wrpy_v22_default,159,1,accepted,accepted_residual_verified,0.020900,0.018000,1.016027,118,0.025716,0.003906,1.925815,2.080131,0.154316,-0.025424,0
wrpy_v22_default,160,1,accepted,accepted_v22_pose_chain_context,0.031434,0.018000,1.302989,152,0.032552,0.003906,1.866658,6.573881,4.707223,-0.297297,0
wrpy_v22_default,161,1,accepted,accepted_residual_verified,0.026392,0.018000,1.094021,144,0.028320,0.008464,1.417465,1.938801,0.521336,-0.049645,0
wrpy_v22_default,166,1,accepted,accepted_residual_verified,0.023242,0.018000,1.092848,136,0.027669,0.006510,1.635937,1.832010,0.196073,-0.023438,0
wrpy_v22_default,167,1,accepted,accepted_residual_verified,0.019643,0.018000,0.923592,63,0.014323,0.004883,2.075263,2.103646,0.028382,0.000000,0
wrpy_v22_default,177,1,accepted,accepted_residual_verified,0.020971,0.018000,1.150201,72,0.015951,0.005208,1.547472,1.612521,0.065049,0.000000,0
wrpy_v22_default,185,1,accepted,accepted_residual_verified,0.018442,0.018000,1.197966,97,0.021810,0.005208,2.080892,2.081847,0.000955,0.000000,0
wrpy_v22_default,194,1,accepted,accepted_v22_pose_chain_context,0.023154,0.018000,1.689013,160,0.039062,0.004883,2.397761,2.816015,0.418254,-0.077419,0
wrpy_v22_default,195,1,accepted,accepted_residual_verified,0.019340,0.018000,1.410801,204,0.044922,0.004232,1.885910,1.898544,0.012634,-0.010050,0
wrpy_v22_default,196,1,accepted,accepted_v22_pose_chain_context,0.057959,0.018000,4.071519,118,0.026042,0.005208,2.197985,19.657045,17.459060,-0.556522,0
wrpy_v22_default,197,1,accepted,accepted_v22_pose_chain_context,0.100212,0.018000,6.770722,140,0.032878,0.005208,2.619152,103.681350,101.062198,-0.920290,0
wrpy_v22_default,198,1,accepted,accepted_v22_pose_chain_context,0.021668,0.018000,1.463988,181,0.043620,0.005208,2.168433,2.359647,0.191214,-0.067416,0
wrpy_v22_default,199,1,accepted,accepted_v22_pose_chain_context,0.057958,0.018000,3.915900,122,0.029948,0.003906,2.235255,7.406310,5.171055,-0.352941,0
wrpy_v22_default,200,1,accepted,accepted_v22_pose_chain_context,0.072649,0.018000,4.908498,159,0.038086,0.002604,2.473643,17.730305,15.256661,-0.449367,0
wrpy_v22_default,203,1,accepted,accepted_v22_pose_chain_context,0.048097,0.018000,3.042467,179,0.041341,0.000000,2.639111,15.499721,12.860610,-0.508380,0
wrpy_v22_default,204,1,accepted,accepted_residual_verified,0.019562,0.018000,1.237433,186,0.044271,0.000000,2.582877,2.587477,0.004600,-0.016129,0
wrpy_v22_default,206,1,accepted,accepted_v22_pose_chain_context,0.050392,0.018000,3.127406,208,0.048503,0.000000,2.661267,13.074577,10.413310,-0.519231,0
wrpy_v22_default,207,1,accepted,accepted_v22_pose_chain_context,0.036636,0.018000,2.269385,189,0.041992,0.000000,2.548014,9.898304,7.350290,-0.449735,0
wrpy_v22_default,212,1,accepted,accepted_v22_pose_chain_context,0.035865,0.018000,2.126896,183,0.040690,0.000651,2.674347,6.060596,3.386250,-0.250000,0
wrpy_v22_default,213,1,accepted,accepted_residual_verified,0.020893,0.018000,1.239026,222,0.049154,0.003255,2.251943,2.422528,0.170585,-0.040724,0
wrpy_v22_default,214,1,accepted,accepted_v22_pose_chain_context,0.030572,0.018000,1.732028,199,0.042969,0.002604,2.230257,4.623656,2.393399,-0.190955,0
wrpy_v22_default,215,1,accepted,accepted_residual_verified,0.020822,0.018000,1.159217,142,0.033203,0.001302,2.650805,2.741590,0.090785,-0.021277,0
wrpy_v22_default,217,1,accepted,accepted_v22_pose_chain_context,0.045098,0.018000,2.554944,196,0.040690,0.003906,2.330150,17.496407,15.166257,-0.551546,0
wrpy_v22_default,218,1,accepted,accepted_v22_pose_chain_context,0.024334,0.018000,1.354748,124,0.029622,0.003581,2.873231,3.814255,0.941024,-0.132231,0
wrpy_v22_default,219,1,accepted,accepted_v22_pose_chain_context,0.033451,0.018000,1.862357,185,0.041341,0.005534,2.315605,8.551477,6.235873,-0.379121,0
wrpy_v22_default,220,1,accepted,accepted_v22_pose_chain_context,0.031252,0.018000,1.739915,196,0.043294,0.005208,2.482187,15.570329,13.088142,-0.331606,0
wrpy_v22_default,221,1,accepted,accepted_residual_verified,0.024297,0.018000,1.349978,197,0.041992,0.006510,2.309255,2.611489,0.302234,-0.010363,0
wrpy_v22_default,222,1,accepted,accepted_v22_pose_chain_context,0.025742,0.018000,1.430116,207,0.041341,0.007161,3.007724,4.305470,1.297746,-0.152709,0
wrpy_v22_default,224,1,accepted,accepted_residual_verified,0.020057,0.018000,1.114292,234,0.045898,0.007487,2.338383,2.453695,0.115313,-0.031674,0
wrpy_v22_default,225,1,accepted,accepted_v22_pose_chain_context,0.042569,0.018000,2.364958,212,0.041992,0.005534,2.389333,15.132841,12.743508,-0.570732,0
wrpy_v22_default,226,1,accepted,accepted_v22_pose_chain_context,0.025572,0.018000,1.420689,209,0.044922,0.007487,2.603222,4.087286,1.484064,-0.220588,0
wrpy_v22_default,227,1,accepted,accepted_v22_pose_chain_context,0.036589,0.018000,2.032720,181,0.034505,0.004557,2.345834,6.433706,4.087872,-0.198830,0
wrpy_v22_default,228,1,accepted,accepted_residual_verified,0.019110,0.018000,1.061669,228,0.046549,0.005859,2.674824,2.707393,0.032569,-0.036697,0
wrpy_v22_default,229,1,accepted,accepted_v22_pose_chain_context,0.024123,0.018000,1.340167,181,0.036133,0.006185,2.650686,3.765808,1.115122,-0.118343,0
wrpy_v22_default,230,1,accepted,accepted_residual_verified,0.019937,0.018000,1.107623,245,0.044271,0.009766,2.066719,2.122479,0.055760,-0.016327,0
wrpy_v22_default,236,1,accepted,accepted_v22_pose_chain_context,0.033386,0.018000,1.854777,174,0.033203,0.006185,2.270755,6.142506,3.871751,-0.265896,0
wrpy_v22_default,237,1,accepted,accepted_v22_pose_chain_context,0.028483,0.018000,1.582379,240,0.042969,0.006836,2.214095,5.674714,3.460619,-0.238298,0
wrpy_v22_default,238,1,accepted,accepted_v22_pose_chain_context,0.031104,0.018000,1.728019,186,0.037760,0.006185,2.377584,7.475563,5.097979,-0.305556,0
wrpy_v22_default,239,1,accepted,accepted_v22_pose_chain_context,0.054567,0.018000,3.031476,166,0.029622,0.005208,2.690075,37.650078,34.960003,-0.763158,0
wrpy_v22_default,240,1,accepted,accepted_v22_pose_chain_context,0.059423,0.018000,3.301260,150,0.029622,0.009115,2.889359,46.252021,43.362663,-0.904412,0
wrpy_v22_default,241,1,accepted,accepted_v22_pose_chain_context,0.025427,0.018000,1.412633,161,0.031901,0.008138,2.506619,3.835591,1.328971,-0.139073,0
wrpy_v22_default,242,1,accepted,accepted_v22_pose_chain_context,0.026256,0.018000,1.458664,197,0.039062,0.010742,2.512871,2.962003,0.449131,-0.051020,0
wrpy_v22_default,243,1,accepted,accepted_residual_verified,0.028968,0.018000,1.609329,181,0.038086,0.014974,2.286278,2.662238,0.375960,-0.038889,0
wrpy_v22_default,247,1,accepted,accepted_residual_verified,0.020242,0.018000,1.124532,199,0.037760,0.015299,2.023246,2.101175,0.077929,-0.020202,0
wrpy_v22_default,255,1,accepted,accepted_v22_pose_chain_context,0.030064,0.018000,1.730022,144,0.027995,0.013346,1.985187,4.570905,2.585719,-0.187500,0
wrpy_v22_default,256,1,accepted,accepted_v22_pose_chain_context,0.034130,0.018000,1.963990,180,0.035156,0.018229,2.098214,6.881294,4.783080,-0.296089,0
wrpy_v22_default,258,1,accepted,accepted_residual_verified,0.021628,0.018000,1.315128,213,0.039062,0.016276,1.886758,2.074211,0.187453,-0.018779,0
wrpy_v22_default,259,1,accepted,accepted_v22_pose_chain_context,0.028350,0.018000,1.723883,179,0.033203,0.015951,2.160171,3.697236,1.537065,-0.153409,0
wrpy_v22_default,263,1,accepted,accepted_residual_verified,0.023809,0.018000,1.507188,187,0.035156,0.012695,1.753765,2.065179,0.311415,-0.042781,0
wrpy_v22_default,267,1,accepted,accepted_residual_verified,0.022097,0.018000,1.370250,209,0.035807,0.013021,1.426481,1.471935,0.045454,-0.004831,0
wrpy_v22_default,268,1,accepted,accepted_residual_verified,0.021940,0.018000,1.360504,189,0.034505,0.013672,1.783028,1.955927,0.172899,0.000000,0
wrpy_v22_default,269,1,accepted,accepted_v22_pose_chain_context,0.030686,0.018000,1.902877,212,0.037435,0.015951,1.832921,3.017784,1.184863,-0.110577,0
wrpy_v22_default,271,1,accepted,accepted_v22_pose_chain_context,0.028824,0.018000,1.926905,150,0.032552,0.014974,2.167063,2.687682,0.520619,-0.060403,0
wrpy_v22_default,274,1,accepted,accepted_residual_verified,0.020252,0.018000,1.470998,176,0.034831,0.015625,2.120799,2.141224,0.020425,-0.022727,0
wrpy_v22_default,286,1,accepted,accepted_v22_pose_chain_context,0.030389,0.018000,2.224232,117,0.027344,0.021810,2.507327,9.953010,7.445683,-0.371681,0
wrpy_v22_default,287,1,accepted,accepted_v22_pose_chain_context,0.028959,0.018000,2.119568,150,0.029948,0.020833,2.543303,4.199740,1.656437,-0.143885,0
wrpy_v22_default,288,1,accepted,accepted_v22_pose_chain_context,0.026734,0.018000,2.022225,182,0.039062,0.022461,2.430540,5.510049,3.079510,-0.241379,0
wrpy_v22_default,289,1,accepted,accepted_v22_pose_chain_context,0.046932,0.018000,3.757386,116,0.028971,0.013346,2.405376,36.681348,34.275972,-0.690265,0
wrpy_v22_default,290,1,accepted,accepted_v22_pose_chain_context,0.033262,0.018000,2.662931,118,0.026042,0.015299,2.508962,10.585568,8.076606,-0.504673,0
wrpy_v22_default,291,1,accepted,accepted_v22_pose_chain_context,0.022835,0.018000,1.727295,130,0.029297,0.017578,2.795427,3.448907,0.653480,-0.105691,0
wrpy_v22_default,292,1,accepted,accepted_v22_pose_chain_context,0.023955,0.018000,1.590450,109,0.026042,0.020833,2.835838,3.373885,0.538046,-0.074074,0
wrpy_v22_default,293,1,accepted,accepted_v22_pose_chain_context,0.028489,0.018000,1.729651,128,0.030924,0.014974,2.789069,3.646872,0.857803,-0.145161,0
wrpy_v22_default,294,1,accepted,accepted_v22_pose_chain_context,0.028168,0.018000,1.710155,113,0.025065,0.017904,3.345572,5.477730,2.132158,-0.252336,0
wrpy_v22_default,296,1,accepted,accepted_v22_pose_chain_context,0.039014,0.018000,2.339582,111,0.027018,0.017904,2.972783,5.493632,2.520849,-0.254545,0
wrpy_v22_default,297,1,accepted,accepted_v22_pose_chain_context,0.023037,0.018000,1.390150,141,0.029622,0.014323,2.492524,3.117670,0.625147,-0.070922,0
wrpy_v22_default,298,1,accepted,accepted_v22_pose_chain_context,0.063447,0.018000,4.202351,153,0.034180,0.011719,2.565719,42.162283,39.596565,-0.797386,0
wrpy_v22_default,299,1,accepted,accepted_v22_pose_chain_context,0.039431,0.018000,2.611694,195,0.038737,0.000000,2.393899,9.588474,7.194575,-0.405128,0
wrpy_v22_default,300,1,accepted,accepted_v22_pose_chain_context,0.060594,0.018000,3.656439,200,0.041992,0.000000,2.364934,40.357003,37.992070,-0.810000,0
wrpy_v22_default,301,1,accepted,accepted_v22_pose_chain_context,0.034130,0.018000,2.029316,200,0.042643,0.000000,2.289188,7.578567,5.289379,-0.350000,0
wrpy_v22_default,302,1,accepted,accepted_v22_pose_chain_context,0.053786,0.018000,3.198063,213,0.045247,0.000000,2.407618,27.493910,25.086292,-0.680751,0
wrpy_v22_default,303,1,accepted,accepted_v22_pose_chain_context,0.022492,0.018000,1.317209,223,0.047852,0.000000,2.311020,2.806816,0.495796,-0.085202,0
wrpy_v22_default,305,1,accepted,accepted_v22_pose_chain_context,0.023075,0.018000,1.351323,210,0.045573,0.000000,2.339246,2.826295,0.487049,-0.076190,0
wrpy_v22_default,308,1,accepted,accepted_v22_pose_chain_context,0.039226,0.018000,2.297204,202,0.043945,0.000000,2.422503,12.648184,10.225681,-0.504950,0
wrpy_v22_default,309,1,accepted,accepted_residual_verified,0.019549,0.018000,1.107096,209,0.047201,0.000000,2.621141,2.672575,0.051434,-0.028708,0
wrpy_v22_default,311,1,accepted,accepted_v22_pose_chain_context,0.025651,0.018000,1.425070,201,0.045898,0.000000,2.469859,4.064407,1.594548,-0.184080,0
wrpy_v22_default,312,1,accepted,accepted_v22_pose_chain_context,0.038359,0.018000,2.131066,177,0.040039,0.000000,2.594053,10.987889,8.393836,-0.491525,0
wrpy_v22_default,314,1,accepted,accepted_v22_pose_chain_context,0.025265,0.018000,1.403637,199,0.048177,0.000000,2.365239,3.039237,0.673998,-0.070352,0
wrpy_v22_default,315,1,accepted,accepted_v22_pose_chain_context,0.032716,0.018000,1.817550,207,0.046224,0.000000,2.353524,8.091663,5.738139,-0.367150,0
wrpy_v22_default,316,1,accepted,accepted_v22_pose_chain_context,0.036785,0.018000,2.043620,175,0.039388,0.000000,2.713404,7.496298,4.782893,-0.325714,0
wrpy_v22_default,320,1,accepted,accepted_v22_pose_chain_context,0.049687,0.018000,2.760416,177,0.038737,0.000000,3.141216,20.172117,17.030901,-0.649718,0
wrpy_v22_default,322,1,accepted,accepted_v22_pose_chain_context,0.032517,0.018000,1.806515,185,0.041667,0.000000,2.845043,6.629236,3.784193,-0.340541,0
wrpy_v22_default,323,1,accepted,accepted_v22_pose_chain_context,0.054050,0.018000,3.002779,187,0.043620,0.000000,2.907935,26.204016,23.296081,-0.786096,0
wrpy_v22_default,429,1,accepted,accepted_v22_pose_chain_context,0.029758,0.018000,2.739949,134,0.033203,0.009115,2.316644,5.195759,2.879115,-0.112782,0
wrpy_v22_default,430,1,accepted,accepted_v22_pose_chain_context,0.034654,0.018000,3.190706,110,0.024740,0.006836,2.553945,7.499565,4.945620,-0.266055,0
wrpy_v22_default,439,1,accepted,accepted_residual_verified,0.027220,0.017657,2.774913,101,0.023112,0.003255,1.610488,1.870786,0.260299,-0.010417,0
wrpy_v22_default,440,1,accepted,accepted_residual_verified,0.021598,0.017657,2.201736,121,0.027344,0.002604,1.529364,1.619872,0.090508,-0.008264,0
wrpy_v22_default,462,1,accepted,accepted_residual_verified,0.012978,0.009821,2.378593,152,0.033529,0.000000,1.808917,1.835383,0.026466,-0.006579,0
wrpy_v22_default,463,1,accepted,accepted_residual_verified,0.010862,0.009821,1.990826,139,0.029948,0.000000,1.883511,1.891812,0.008300,0.000000,0
wrpy_v22_default,466,1,accepted,accepted_v22_pose_chain_context,0.017593,0.009851,3.214656,148,0.034180,0.000000,1.826861,2.402085,0.575225,-0.060811,0
wrpy_v22_default,467,1,accepted,accepted_v22_pose_chain_context,0.026692,0.009851,4.877192,161,0.038411,0.000000,1.670470,3.741206,2.070736,-0.149068,0
wrpy_v22_default,468,1,accepted,accepted_v22_pose_chain_context,0.029845,0.009851,5.453313,129,0.030924,0.000000,1.879365,5.928679,4.049314,-0.279070,0
wrpy_v22_default,481,1,accepted,accepted_v22_pose_chain_context,0.035783,0.015856,4.062114,211,0.048177,0.000000,2.606220,7.605460,4.999240,-0.350711,0
wrpy_v22_default,498,1,accepted,accepted_residual_verified,0.019166,0.018000,1.238342,244,0.047201,0.000000,2.573246,2.600067,0.026821,0.000000,0
wrpy_v22_default,499,1,accepted,accepted_v22_pose_chain_context,0.024927,0.018000,1.510829,242,0.049805,0.000000,2.422291,3.308863,0.886572,-0.095041,0
wrpy_v22_default,572,1,accepted,accepted_v22_pose_chain_context,0.032827,0.018000,3.120499,114,0.016602,0.008789,2.434444,15.301373,12.866928,-0.660714,0
wrpy_v22_default,573,1,accepted,accepted_residual_verified,0.018871,0.018000,1.851199,127,0.016927,0.009440,2.198704,2.237890,0.039186,-0.016260,0
wrpy_v22_default,575,1,accepted,accepted_v22_pose_chain_context,0.027962,0.018000,2.641976,135,0.019206,0.012695,2.065271,8.592070,6.526799,-0.453846,0
wrpy_v22_default,577,1,accepted,accepted_v22_pose_chain_context,0.035539,0.018000,3.357881,94,0.013997,0.017904,2.264220,18.907989,16.643768,-0.774194,0
wrpy_v22_default,579,1,accepted,accepted_v22_pose_chain_context,0.022865,0.018000,2.160361,101,0.018229,0.015951,2.936738,4.018247,1.081508,-0.166667,0
wrpy_v22_default,580,1,accepted,accepted_v22_pose_chain_context,0.057899,0.018000,5.470472,108,0.016602,0.014648,3.104815,67.583513,64.478699,-1.000000,0
wrpy_v22_default,581,1,accepted,accepted_v22_pose_chain_context,0.084912,0.018000,7.738271,190,0.024740,0.013672,2.392122,125.440138,123.048015,-1.000000,0
wrpy_v22_default,582,1,accepted,accepted_v22_pose_chain_context,0.063884,0.018000,5.821908,129,0.022135,0.009440,2.593506,98.823523,96.230017,-0.992188,0
wrpy_v22_default,583,1,accepted,accepted_v22_pose_chain_context,0.042497,0.018000,3.728408,155,0.023438,0.017904,3.028168,25.850918,22.822750,-0.750000,0
wrpy_v22_default,584,1,accepted,accepted_v22_pose_chain_context,0.030896,0.018000,2.710631,157,0.024740,0.015951,2.583504,6.291188,3.707685,-0.294872,0
wrpy_v22_default,585,1,accepted,accepted_v22_pose_chain_context,0.035235,0.018000,2.947413,136,0.024089,0.023763,2.639702,10.313864,7.674163,-0.496124,0
wrpy_v22_default,586,1,accepted,accepted_v22_pose_chain_context,0.043552,0.018000,3.643067,91,0.017904,0.022786,3.238079,13.736485,10.498405,-0.573034,0
wrpy_v22_default,587,1,accepted,accepted_v22_pose_chain_context,0.029341,0.018000,2.382072,162,0.030599,0.016276,2.596200,4.696543,2.100343,-0.242038,0
wrpy_v22_default,588,1,accepted,accepted_v22_pose_chain_context,0.126191,0.018000,10.149354,159,0.027669,0.018229,2.745668,231.424739,228.679071,-1.000000,0
wrpy_v22_default,589,1,accepted,accepted_v22_pose_chain_context,0.124424,0.018000,9.882193,142,0.029297,0.021159,2.964220,247.232578,244.268357,-1.000000,0
wrpy_v22_default,590,1,accepted,accepted_v22_pose_chain_context,0.175514,0.018000,13.674538,176,0.034831,0.013672,2.784214,605.684847,602.900633,-1.000000,0
wrpy_v22_default,604,1,accepted,accepted_v22_pose_chain_context,0.023177,0.018000,1.528264,200,0.038086,0.015299,2.774718,3.511333,0.736614,-0.110000,0
wrpy_v22_default,607,1,accepted,accepted_v22_pose_chain_context,0.030662,0.018000,1.703428,221,0.039714,0.008464,2.801665,8.105726,5.304061,-0.386364,0
wrpy_v22_default,614,1,accepted,accepted_v22_pose_chain_context,0.034039,0.018000,2.999103,162,0.034505,0.003581,2.870511,10.963198,8.092687,-0.456250,0
wrpy_v22_default,618,1,accepted,accepted_v22_pose_chain_context,0.023024,0.018000,2.034810,198,0.038737,0.001628,2.942815,3.272578,0.329763,-0.065657,0
